,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,45061,93,37838,71047,210,57271,352434,227,253722,183242,133,164620
1,2.0,38109,87,30831,60927,167,46215,299725,186,190999,156973,154,141036
2,4.0,47096,115,37879,74488,202,56491,367255,246,234058,192888,156,173621
3,6.0,46615,116,37698,74892,188,56722,365046,242,232858,194886,169,175260
4,8.0,46788,105,37794,74287,207,56354,361685,253,230307,195346,141,175695
5,10.0,46800,107,37823,74269,199,56418,363169,246,231343,195358,177,175702
6,12.0,47160,113,38061,74570,192,56792,365231,251,232589,195071,150,175390
7,14.0,47587,129,38266,75140,200,57011,368182,267,234375,194515,164,174926
8,16.0,47627,115,38338,75323,185,57235,371943,247,236755,195569,172,175677
9,18.0,47597,108,38343,75473,213,57236,373230,252,237576,195915,181,175920
10,20.0,48182,123,38932,75985,198,57554,374824,249,238299,195897,132,176284
11,22.0,47603,96,38596,75692,189,57370,373582,250,237778,196402,176,176595
12,24.0,47579,120,38676,75383,204,57404,371001,253,236613,195991,152,176261
13,26.0,47287,100,38137,74724,203,56896,366007,249,232839,195773,159,176084
14,28.0,47250,109,38169,75016,191,56909,366560,238,232974,195729,166,175973
15,30.0,47210,108,38346,75552,210,57354,366639,279,233318,195847,145,176136
16,32.0,47148,115,38169,74413,195,56544,367982,264,234584,196338,168,176532
17,34.0,47326,119,38197,75014,212,57098,363471,227,231641,195861,162,176192
18,36.0,46972,119,38069,74296,196,56232,363929,230,231399,196512,164,176666
19,38.0,47018,103,37872,73919,212,56245,362726,230,231286,195231,166,175604
20,40.0,46869,108,37914,73978,195,56343,363905,256,231841,194621,164,174938
21,42.0,46949,92,37978,74729,195,56981,364070,262,231777,195021,143,175633
22,44.0,47511,93,38289,75163,224,57139,367248,266,233949,195320,137,175824
23,46.0,47822,119,38471,75674,194,57396,372699,265,237200,195980,158,176143
24,48.0,48251,115,39022,75790,203,57571,376729,261,239681,195623,171,175931
25,50.0,47907,122,38506,75929,190,57642,377955,264,240187,194752,154,175114
26,52.0,48356,95,38963,76524,215,57553,382373,265,243281,196469,136,176471
27,54.0,48926,116,39359,77009,190,58139,386028,265,245925,195784,117,176185
28,56.0,48907,115,39443,77302,196,58453,384447,284,244579,195799,166,176155
29,58.0,48133,126,38815,76957,180,58340,384462,253,244486,195597,140,176162
30,60.0,48218,111,38830,77114,186,58676,382611,305,244080,197072,148,177137
31,62.0,48212,105,38821,76538,185,58273,380033,244,241990,195234,146,175646
32,64.0,48530,118,39236,76861,199,58195,379509,283,241321,195517,142,175805
33,66.0,47901,86,38719,76463,176,57996,377378,266,239734,195509,158,175670
34,68.0,48322,114,39013,75636,203,57255,375001,278,238655,195611,151,176054
35,70.0,47989,108,38715,76494,226,57950,375720,281,239055,195311,164,175629
36,72.0,47885,98,38503,75316,210,57122,373940,222,237741,195074,148,175465
37,74.0,47296,112,38207,75263,184,57319,370622,274,235332,194617,151,175009
38,76.0,47672,119,38373,75418,184,57357,370541,244,235936,195610,145,175819
39,78.0,47493,123,38397,75166,213,57056,369020,256,235246,195062,172,175125
40,80.0,46948,94,37910,75100,217,57201,367303,242,233879,195086,135,175588
41,82.0,47370,105,38215,74462,191,56815,365496,265,232154,195338,157,175642
42,84.0,46731,109,37849,74808,185,57010,366484,239,233441,194539,165,175005
43,86.0,47031,114,38013,74822,195,56725,367755,239,233821,194282,165,174570
44,88.0,47365,102,38331,74827,207,56860,368360,266,234311,193713,166,174221
45,90.0,47566,116,38531,75218,187,57316,369642,254,235160,194814,182,175112
46,92.0,47295,129,38091,75480,200,57180,371503,268,236229,194827,167,175284
47,94.0,47741,97,38476,75265,181,57212,371509,237,237118,194924,138,175212
48,96.0,47186,126,38222,75349,200,57474,371133,257,236755,194983,162,175315
49,98.0,47550,110,38243,75914,184,57589,370947,263,235916,195149,157,175498
50,100.0,47693,107,38431,75989,195,57514,372482,269,237099,195390,162,175746
51,102.0,47382,106,38246,75588,213,57387,372622,248,237364,194628,160,174795
52,104.0,47518,111,38483,75228,198,57077,373602,268,238268,194264,156,174637
53,106.0,47536,115,38326,75675,183,57467,372628,248,236456,194819,160,175239
54,108.0,47697,100,38479,75327,186,57043,370570,246,236059,195309,156,175512
55,110.0,47265,103,38205,75463,219,57123,370040,253,235639,194602,155,174918
56,112.0,47155,123,37910,74901,178,56941,368752,250,234536,194630,164,174973
57,114.0,47123,107,37923,75340,231,57283,368359,247,234346,194533,140,174862
58,116.0,47822,113,38444,75557,193,57375,371627,258,236801,195045,160,175277
59,118.0,47920,107,38696,75569,197,57527,372500,274,237425,195919,142,176215
60,120.0,47571,114,38488,75535,181,57327,370579,249,236422,195568,153,175906
61,122.0,47664,98,38385,75925,193,57521,371742,270,236279,195484,155,175952
62,124.0,47374,108,38331,75969,189,57611,373247,259,237641,195935,145,176243
63,126.0,48151,102,38773,76222,213,57855,375857,248,239447,194727,154,175097
64,128.0,47364,98,38222,75439,218,57249,375227,243,238785,194020,177,174187
65,130.0,47443,112,38230,75485,215,57228,375975,257,238818,191818,169,172681
66,132.0,47698,132,38343,75291,186,57088,376688,248,239905,190888,174,171673
67,134.0,47314,118,38243,75557,221,57186,376819,256,240304,191589,178,172111
68,136.0,47248,130,38153,75444,184,57290,376789,279,239827,191615,154,172442
69,138.0,47122,114,38060,75861,201,57548,376444,225,239862,191694,170,172341
70,140.0,47399,115,38263,76082,210,57585,376751,269,240215,190655,141,171673
71,142.0,47357,120,38239,75609,192,57250,375995,244,239913,190949,172,171418
72,144.0,47577,111,38314,75765,196,57253,378399,254,241180,191358,170,172158
73,146.0,47637,121,38408,75669,188,57253,379290,225,241022,191699,135,172357
74,148.0,47266,126,38001,75801,203,57265,378968,267,240616,190731,163,171546
75,150.0,47697,102,38409,75697,179,57301,376450,279,239632,191368,168,171851
76,152.0,47443,105,38312,75140,176,56902,375172,250,238830,192205,164,172850
77,154.0,47086,121,37963,75441,218,56893,375601,284,239111,191876,153,172681
78,156.0,47926,118,38365,75725,182,57329,377605,239,240777,192742,169,173382
79,158.0,47869,120,38565,76214,195,57464,379276,274,241731,192560,139,173131
80,160.0,47831,116,38525,76355,199,57784,383587,251,244492,191422,161,172137
81,162.0,48610,129,39161,77154,217,58203,386931,228,246285,192445,147,173267
82,164.0,48103,117,38696,76640,212,57944,387316,246,247107,192234,162,172773
83,166.0,48205,129,38708,76764,223,58087,386349,269,245654,192599,145,173209
84,168.0,48564,108,39199,77504,227,58547,390170,258,248598,192332,155,173070
85,170.0,48701,108,39024,77951,199,58866,392646,221,249486,192636,165,173254
86,172.0,48559,80,39145,77737,193,58579,393332,250,250457,191510,170,172021
87,174.0,48792,121,39199,78112,185,59078,394941,289,251739,191644,168,172193
88,176.0,48542,109,39071,78120,202,58983,393338,265,250875,192578,172,173352
89,178.0,48574,101,39148,77088,208,58271,390599,262,248551,192766,161,173523
90,180.0,47926,85,38597,77178,225,58548,389099,262,247931,193241,150,173559
91,182.0,47790,111,38638,77281,212,58455,385565,266,246141,192601,153,173257
92,184.0,47759,113,38449,76884,209,58228,386021,233,246037,193070,139,173437
93,186.0,48320,129,38934,76799,219,58153,384349,270,244583,192772,157,173320
94,188.0,47813,117,38429,76881,211,58165,383561,275,244411,191904,140,172896
95,190.0,47999,115,38590,76425,218,57927,383714,240,244159,192581,154,173280
96,192.0,47704,115,38426,76529,191,58032,381113,272,242704,192277,151,173154
97,194.0,47794,116,38526,76173,192,57457,379758,266,242351,193248,182,173788
98,196.0,47301,84,37997,76663,231,58159,380099,260,241848,193077,158,173764
99,198.0,48232,126,38819,76696,206,58173,381591,245,243127,192033,142,172766
100,200.0,47515,110,38235,76050,182,57379,382144,262,243518,191691,160,172369
101,202.0,47669,97,38438,76384,212,57924,378898,245,241112,193593,142,174088
102,204.0,47855,107,38505,76323,214,57620,380547,246,242900,194539,165,174923
103,206.0,48425,107,39254,76204,197,57835,381192,249,242683,194496,141,174877
104,208.0,47939,119,38599,77403,204,58562,381176,258,243334,194886,160,175268
105,210.0,48766,120,39302,77279,216,58449,383064,247,244058,195032,154,175397
106,212.0,48408,105,38976,76740,260,58234,383968,264,244566,194944,144,175297
107,214.0,48042,128,38835,76977,163,58292,383518,247,244830,195419,159,175785
108,216.0,48582,136,39094,76753,209,58092,384324,241,244286,195117,135,175265
109,218.0,48306,96,38995,77672,217,58761,386198,266,246086,196222,179,176253
110,220.0,48557,121,39216,77726,196,58961,385922,290,245101,194571,146,175060
111,222.0,48691,96,39144,77803,196,58922,386121,249,245763,194672,139,175082
112,224.0,48394,107,39001,77518,193,58632,386030,267,245431,194992,179,175098
113,226.0,48259,108,38989,77753,220,58994,381846,231,243574,195777,163,176209
114,228.0,47357,114,38187,75913,222,57472,376088,242,239641,194864,165,175211
115,230.0,47065,132,37919,75456,196,57214,370846,243,236381,195468,140,175902
116,232.0,47375,118,38087,75616,168,57268,368644,228,235368,195158,166,175615
117,234.0,47853,107,38713,75374,216,57285,370138,273,236028,195492,165,175622
118,236.0,47980,110,38824,75670,209,57517,372148,268,236657,195433,145,175570
119,238.0,47704,115,38446,76136,191,57800,372544,248,238019,195020,150,175328
120,240.0,47535,102,38397,75797,199,57615,375179,256,239142,194868,166,175125
121,242.0,47986,109,38599,76712,206,58029,380005,281,241652,195145,138,175647
122,244.0,48372,101,38924,76713,223,58085,383042,265,244126,194523,163,174893
123,246.0,48252,103,39026,77537,209,58646,386872,251,246349,195016,185,175493
124,248.0,48290,108,38931,77810,183,58849,389669,276,248423,193539,174,174057
125,250.0,48700,109,39287,78288,222,59127,392580,262,249944,194554,159,175166
126,252.0,48462,120,38994,77778,187,58644,390076,249,248667,193854,190,174129
127,254.0,48434,106,38982,77621,196,58893,388079,276,247415,194992,142,175273
128,256.0,48582,102,39052,77741,212,58660,387763,258,246413,194273,155,174751
129,258.0,49234,110,39687,78064,226,59077,389176,256,248107,195286,172,175772
130,260.0,48749,105,39249,77643,194,58818,389624,275,247921,195060,158,175490
131,262.0,48281,110,38867,77663,201,58825,388561,282,247862,195118,154,175318
132,264.0,48765,122,39358,77334,186,58564,386858,272,246350,194819,159,175154
133,266.0,48257,94,38748,77755,202,58808,386726,261,246498,194558,163,175022
134,268.0,48131,99,38819,77496,199,58552,388755,232,248176,193365,151,173861
135,270.0,48911,107,39412,77431,197,58610,391188,285,248927,192864,165,173434
136,272.0,48153,114,38747,77367,226,58538,387496,258,247301,192453,170,172932
137,274.0,48477,100,38946,77256,203,58195,387193,254,247125,191735,168,172367
138,276.0,48292,102,38863,76797,216,57872,387991,255,247366,191124,116,171845
139,278.0,48404,105,39028,77389,198,58669,387738,253,247014,191078,151,171629
140,280.0,48153,114,38688,76874,206,58153,389054,294,247682,191487,123,172048
141,282.0,47866,118,38463,77292,206,58469,385821,249,245756,191786,165,172271
142,284.0,47719,103,38314,76335,204,57643,386572,269,246332,190758,151,171449
143,286.0,47935,105,38582,76564,212,57828,386628,222,246748,190407,160,171208
144,288.0,47780,126,38390,76808,203,58054,385885,261,246068,190055,162,170749
145,290.0,47758,97,38483,76715,180,58093,386504,252,246269,191072,146,171567
146,292.0,48125,111,38965,77102,191,58302,385237,239,245929,191095,162,171643
147,294.0,48277,117,39017,76720,177,58204,386270,248,245873,193443,145,173866
148,296.0,48818,108,39381,77341,197,58655,388436,213,247934,193344,150,173688
149,298.0,47966,98,38563,76618,183,58123,385464,258,245305,193648,162,174173
150,300.0,48361,92,38898,77753,197,58871,385983,252,245851,193906,161,174315
151,302.0,48526,108,39082,76869,234,58254,390115,273,248524,194690,186,174875
152,304.0,48607,108,39182,77707,213,58760,389151,285,248284,194051,141,174400
153,306.0,48568,112,39142,77861,171,58790,393185,235,250194,194075,155,174245
154,308.0,48640,113,39142,78376,204,59141,393663,256,250815,193425,147,173911
155,310.0,48785,135,39162,78634,219,59370,396427,264,252342,193605,161,174056
156,312.0,49067,106,39546,78964,192,59421,396965,256,252633,193138,155,173724
157,314.0,48517,89,38972,78347,174,59197,394129,228,251171,193192,152,173870
158,316.0,48555,98,39075,77528,216,58404,392966,289,250411,192472,172,172795
159,318.0,48539,98,39118,77356,204,58566,388716,281,247861,192740,140,173390
160,320.0,48178,115,38985,77298,192,58569,386436,260,245935,192161,167,172794
161,322.0,47878,127,38572,76796,218,58026,384980,222,245145,191969,172,172663
162,324.0,48261,110,38893,77362,206,58523,387205,294,246457,193439,153,174096
163,326.0,48353,91,39056,77956,180,58960,386266,272,245947,192891,134,173292
164,328.0,48111,103,38780,77027,203,58396,386489,294,246098,194580,137,175020
165,330.0,48050,95,38621,77630,211,58729,385652,254,245962,193748,146,174317
166,332.0,48328,113,39037,77528,209,58655,386617,250,246395,194520,178,174908
167,334.0,48577,101,39199,76998,207,58007,386148,263,245774,194044,171,174549
168,336.0,48273,91,38763,76747,200,57975,385299,240,245435,194161,155,174755
169,338.0,48033,110,38713,77049,181,58372,384036,279,244363,194235,153,174594
170,340.0,48336,96,39129,77136,215,58431,384127,245,244502,194494,132,174748
171,342.0,48085,103,38789,77539,187,58716,384423,251,244550,194667,176,175194
172,344.0,48394,106,39162,77332,180,58728,386429,295,245640,194112,130,174553
173,346.0,48480,101,38983,77341,195,58581,385800,248,245881,194819,180,175372
174,348.0,48407,119,39084,77845,202,58949,384792,250,244919,195389,155,175546
175,350.0,48267,127,38949,76969,225,58265,383780,267,244369,194263,167,174689
176,352.0,48426,107,38977,76924,185,58002,383793,245,244489,195229,154,175791
177,354.0,48422,114,38939,77653,205,58663,386325,246,246270,195111,150,175338
178,356.0,48371,107,38933,77375,215,58667,386316,230,245820,195252,164,175477
179,358.0,48391,132,38891,77409,191,58787,385448,264,245512,194585,168,174771
180,360.0,48591,95,39100,77632,204,58839,387451,279,247161,194596,165,174933
181,362.0,48752,88,39412,77257,205,58277,388553,260,247772,195014,156,175438
182,364.0,48440,113,38994,77405,196,58712,384956,261,244950,194345,123,174648
183,366.0,48090,119,38962,76939,199,58216,381287,232,243007,193521,157,173848
184,368.0,47933,95,38683,76869,193,57999,381035,258,243127,193708,151,174011
185,370.0,48101,109,38893,76934,194,58420,384629,260,244945,193976,167,174249
