,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,16,1,2,0
1,2.0,19,0,0,0
2,4.0,29,2,0,0
3,6.0,21,3,0,0
4,8.0,20,3,3,1
5,10.0,18,4,1,0
6,12.0,24,3,1,0
7,14.0,19,1,0,0
8,16.0,18,2,0,0
9,18.0,11,0,0,0
10,20.0,23,2,1,0
11,22.0,25,6,0,0
12,24.0,27,2,1,0
13,26.0,27,4,0,0
14,28.0,32,1,4,0
15,30.0,30,2,0,0
16,32.0,16,2,1,0
17,34.0,36,2,3,0
18,36.0,21,1,2,0
19,38.0,21,2,0,0
20,40.0,22,3,0,0
21,42.0,28,1,2,0
22,44.0,20,0,0,0
23,46.0,29,3,2,0
24,48.0,19,0,0,0
25,50.0,25,2,0,0
26,52.0,22,4,2,0
27,54.0,19,0,0,0
28,56.0,26,2,3,1
29,58.0,18,3,0,0
30,60.0,30,5,0,0
31,62.0,20,2,0,0
32,64.0,24,3,0,0
33,66.0,18,1,1,0
34,68.0,18,2,0,0
35,70.0,14,1,0,0
36,72.0,19,2,0,0
37,74.0,27,1,0,0
38,76.0,41,4,0,0
39,78.0,27,2,2,0
40,80.0,20,5,0,0
41,82.0,22,2,1,0
42,84.0,23,3,1,0
43,86.0,23,3,2,0
44,88.0,26,2,0,0
45,90.0,15,2,0,0
46,92.0,26,2,0,0
47,94.0,21,1,0,0
48,96.0,28,3,1,0
49,98.0,23,2,1,0
50,100.0,25,2,0,0
51,102.0,27,0,1,0
52,104.0,19,3,1,0
53,106.0,20,2,0,0
54,108.0,22,3,2,0
55,110.0,19,1,2,0
56,112.0,25,6,0,0
57,114.0,12,0,1,0
58,116.0,23,2,1,0
59,118.0,16,0,1,0
60,120.0,16,3,0,0
61,122.0,23,3,1,0
62,124.0,27,1,0,0
63,126.0,20,1,2,0
64,128.0,25,3,0,0
65,130.0,15,2,1,0
66,132.0,33,1,0,0
67,134.0,24,3,1,0
68,136.0,21,4,2,0
69,138.0,28,2,1,0
70,140.0,26,1,1,0
71,142.0,21,1,1,0
72,144.0,20,3,1,0
73,146.0,19,1,0,0
74,148.0,14,0,0,0
75,150.0,26,0,2,0
76,152.0,20,1,0,0
77,154.0,25,2,0,0
78,156.0,23,2,1,0
79,158.0,23,2,0,0
80,160.0,20,1,0,0
81,162.0,26,2,0,0
82,164.0,37,6,1,0
83,166.0,26,6,1,0
84,168.0,28,3,3,0
85,170.0,20,3,0,0
86,172.0,20,1,0,0
87,174.0,24,3,0,0
88,176.0,30,2,1,0
89,178.0,19,0,2,0
90,180.0,31,0,0,0
91,182.0,21,1,2,0
92,184.0,26,1,1,0
93,186.0,23,2,0,0
94,188.0,23,3,0,0
95,190.0,23,4,0,0
96,192.0,21,1,1,0
97,194.0,22,3,1,0
98,196.0,27,3,0,0
99,198.0,21,0,0,0
100,200.0,13,1,0,0
101,202.0,30,1,4,0
102,204.0,24,1,2,0
103,206.0,17,4,1,0
104,208.0,25,0,0,0
105,210.0,23,3,1,0
106,212.0,26,3,0,0
107,214.0,31,1,0,0
108,216.0,25,5,2,0
109,218.0,22,2,1,0
110,220.0,24,1,0,0
111,222.0,23,2,0,0
112,224.0,25,2,1,0
113,226.0,23,1,0,0
114,228.0,27,5,0,0
115,230.0,28,1,0,0
116,232.0,29,3,1,0
117,234.0,23,1,1,0
118,236.0,26,2,2,0
119,238.0,21,2,0,0
120,240.0,28,3,0,0
121,242.0,26,0,1,0
122,244.0,26,2,0,0
123,246.0,16,1,0,0
124,248.0,26,2,1,0
125,250.0,20,3,3,0
126,252.0,18,0,0,0
127,254.0,22,3,3,0
128,256.0,19,1,0,0
129,258.0,28,4,1,0
130,260.0,26,1,3,0
131,262.0,19,4,1,1
132,264.0,22,1,0,0
133,266.0,33,2,2,0
134,268.0,27,4,0,0
135,270.0,29,1,0,0
136,272.0,21,1,0,0
137,274.0,15,1,3,0
138,276.0,16,3,0,0
139,278.0,28,1,2,0
140,280.0,25,3,0,0
141,282.0,29,2,3,0
142,284.0,29,1,4,0
143,286.0,27,1,0,0
144,288.0,25,2,0,0
145,290.0,23,4,1,0
146,292.0,25,2,2,0
147,294.0,24,3,0,0
148,296.0,26,1,1,0
149,298.0,26,3,1,0
150,300.0,22,1,0,0
151,302.0,30,5,2,0
152,304.0,25,5,1,1
153,306.0,15,0,1,0
154,308.0,27,2,2,0
155,310.0,27,3,1,0
156,312.0,27,2,0,0
157,314.0,23,2,2,0
158,316.0,27,1,2,0
159,318.0,26,4,0,0
160,320.0,25,4,0,0
161,322.0,24,2,1,0
162,324.0,22,2,0,0
163,326.0,31,7,0,0
164,328.0,22,4,1,0
165,330.0,26,2,1,0
166,332.0,24,2,1,0
167,334.0,24,2,2,0
168,336.0,26,2,2,0
169,339.0,25,1,1,0
170,341.0,22,0,0,0
171,343.0,28,2,1,0
172,345.0,24,2,0,0
173,347.0,16,1,1,0
174,349.0,19,1,1,0
175,351.0,14,2,1,0
176,353.0,26,1,3,0
177,355.0,24,3,1,0
178,357.0,25,3,1,0
179,359.0,22,4,2,1
180,361.0,27,1,0,0
181,363.0,30,2,0,0
182,365.0,29,7,2,0
183,367.0,29,1,2,0
184,369.0,22,0,1,0
185,371.0,14,0,1,0
186,373.0,21,0,1,0
187,375.0,22,0,0,0
188,377.0,25,0,1,0
189,379.0,25,5,0,0
190,381.0,26,0,1,0
191,383.0,19,2,0,0
192,385.0,27,2,2,0
193,387.0,29,2,1,0
194,389.0,27,5,0,0
195,391.0,26,3,0,0
196,393.0,20,4,0,0
197,395.0,25,2,0,0
198,397.0,24,5,0,0
199,399.0,14,1,0,0
200,401.0,17,1,0,0
201,403.0,22,0,1,0
202,405.0,24,5,0,0
203,407.0,21,0,0,0
204,409.0,29,1,0,0
205,411.0,22,5,0,0
206,413.0,25,1,0,0
207,415.0,19,3,2,0
208,417.0,24,3,0,0
209,419.0,28,3,0,0
210,421.0,34,2,5,0
211,423.0,20,1,0,0
212,425.0,22,1,1,0
213,427.0,25,1,0,0
214,429.0,20,2,2,0
215,431.0,26,3,0,0
216,433.0,25,3,0,0
217,435.0,20,2,1,0
218,437.0,26,2,3,0
219,439.0,15,1,1,0
220,441.0,20,0,1,0
221,443.0,31,6,0,0
222,445.0,31,3,2,0
223,447.0,18,2,0,0
224,449.0,19,1,0,0
225,451.0,25,1,0,0
226,453.0,25,0,1,0
227,455.0,22,0,0,0
228,457.0,24,1,1,0
229,459.0,17,2,3,0
230,461.0,27,2,1,0
231,463.0,27,7,0,0
232,465.0,17,2,1,0
233,467.0,23,4,0,0
234,469.0,21,2,3,0
235,471.0,26,4,0,0
236,473.0,21,0,1,0
237,475.0,24,0,1,0
238,477.0,19,5,0,0
239,479.0,23,5,0,0
240,481.0,24,1,2,1
241,483.0,22,2,0,0
242,485.0,13,2,0,0
243,487.0,18,1,1,0
244,489.0,20,3,0,0
245,491.0,17,2,1,0
246,493.0,27,4,0,0
247,495.0,19,1,1,0
248,497.0,23,1,0,0
249,499.0,25,3,2,1
250,501.0,30,1,3,0
251,503.0,25,2,1,0
252,505.0,31,2,0,0
253,507.0,34,4,1,0
254,509.0,20,2,1,0
255,511.0,19,2,1,0
256,513.0,23,1,1,0
257,515.0,27,0,1,0
258,517.0,20,3,0,0
259,519.0,21,3,1,0
260,521.0,17,2,0,0
261,523.0,25,6,0,0
262,525.0,26,0,2,0
263,527.0,17,2,2,0
264,529.0,26,1,3,0
265,531.0,13,0,0,0
266,533.0,24,1,1,0
267,535.0,32,4,4,0
268,537.0,27,2,0,0
269,539.0,25,1,0,0
270,541.0,20,0,1,0
271,543.0,30,5,1,0
272,545.0,31,1,3,0
273,547.0,29,2,1,0
274,549.0,24,2,1,0
275,551.0,27,2,0,0
276,553.0,25,1,0,0
277,555.0,29,3,2,0
278,557.0,27,5,0,0
279,559.0,24,3,0,0
280,561.0,24,5,1,0
281,563.0,25,1,1,0
282,565.0,23,3,1,0
283,567.0,21,1,2,0
284,569.0,23,1,1,0
285,571.0,19,2,0,0
286,573.0,22,3,0,0
287,575.0,32,4,3,0
288,577.0,23,2,1,0
289,579.0,27,4,1,0
290,581.0,28,2,1,0
291,583.0,22,2,1,0
292,585.0,25,1,1,0
293,587.0,21,2,1,0
294,589.0,31,2,0,0
295,591.0,24,1,0,0
296,593.0,16,2,1,1
297,595.0,28,1,0,0
298,597.0,32,1,1,0
299,599.0,21,2,0,0
300,601.0,14,2,2,1
301,603.0,27,4,1,0
302,605.0,31,2,1,0
303,607.0,25,1,3,0
304,609.0,25,2,2,0
305,611.0,21,4,1,0
306,613.0,20,3,1,0
307,615.0,32,6,0,0
308,617.0,22,1,0,0
309,619.0,29,1,0,0
310,621.0,17,1,3,0
311,623.0,30,4,1,0
312,625.0,20,0,0,0
313,627.0,24,2,4,0
314,629.0,17,4,2,0
315,631.0,24,1,1,0
316,633.0,16,1,1,0
317,635.0,27,2,2,0
318,637.0,27,4,0,0
319,639.0,24,2,1,0
320,641.0,35,2,0,0
321,643.0,24,2,2,0
322,645.0,23,2,1,0
323,647.0,26,3,2,1
324,649.0,33,1,2,0
325,651.0,35,4,0,0
326,653.0,31,7,2,0
327,655.0,27,2,0,0
328,657.0,20,1,1,0
329,659.0,10,1,0,0
330,661.0,22,2,0,0
331,663.0,26,3,1,1
332,665.0,19,2,0,0
333,667.0,17,2,0,0
334,669.0,30,2,0,0
335,671.0,19,1,1,0
336,673.0,26,2,0,0
337,675.0,26,1,1,0
338,677.0,21,0,0,0
339,679.0,32,3,0,0
340,681.0,16,1,1,0
341,683.0,16,2,0,0
342,685.0,19,0,0,0
343,687.0,21,5,1,0
344,689.0,22,1,2,0
345,691.0,29,2,0,0
346,693.0,21,0,1,0
347,695.0,18,0,0,0
348,697.0,24,2,1,0
349,699.0,25,2,0,0
350,701.0,32,3,2,0
