,time_histo_el_s,Ra1,Ra2,Ra3,Rb1,Rb2,Rb3,Rc1,Rc2,Rc3
0,0.0,3632,36,0,4850,42,5148,195842,0,0
1,1.0,3622,32,0,4804,42,5102,196793,0,0
2,2.0,3491,19,0,4807,36,5103,199278,0,0
3,3.0,3732,26,0,4744,27,5012,200777,0,0
4,4.0,3684,26,0,4893,38,5164,201573,0,0
5,5.0,3638,23,0,4856,53,5127,199441,0,0
6,6.0,3687,32,0,5012,36,5283,201469,0,0
7,7.0,3678,38,0,5060,32,5349,197841,0,0
8,8.0,3625,36,0,4981,42,5276,199977,0,0
9,9.0,3756,35,0,5037,42,5322,198404,0,0
10,10.0,3759,31,0,5088,42,5351,197447,0,0
11,11.0,3957,29,0,5249,46,5527,196501,0,0
12,12.0,3818,31,0,5073,35,5323,195483,0,0
13,13.0,3829,40,0,5111,46,5389,196322,0,0
14,14.0,3636,29,0,4923,43,5195,194642,0,0
15,15.0,3731,39,0,5027,39,5308,195773,0,0
16,16.0,3781,42,0,4815,41,5094,193083,0,0
17,17.0,3552,31,0,4775,45,5057,195352,0,0
18,18.0,3643,34,0,4951,50,5234,195820,0,0
19,19.0,3608,27,0,4933,36,5233,196061,0,0
20,20.0,3747,34,0,4893,41,5184,197432,0,0
21,21.0,3742,33,0,4991,32,5284,195940,0,0
22,22.0,3672,28,0,5003,47,5302,197837,0,0
23,23.0,3881,31,0,5096,45,5374,198006,0,0
24,24.0,3844,29,0,5092,35,5392,198601,0,0
25,25.0,3821,31,0,5091,38,5358,201041,0,0
26,26.0,3762,28,0,4947,49,5213,200011,0,0
27,27.0,3030,22,0,4114,30,4340,163521,0,0
28,28.0,2565,26,0,3515,28,3715,140216,0,0
29,29.0,3229,32,0,4371,30,4628,172858,0,0
30,30.0,2916,20,0,3804,30,4021,151708,0,0
31,31.0,3838,26,0,5139,41,5410,197324,0,0
32,32.0,4064,34,0,5291,30,5572,198962,0,0
33,33.0,3925,32,0,5295,39,5558,197842,0,0
34,34.0,3917,33,0,5188,40,5472,194697,0,0
35,35.0,3839,31,0,5101,38,5376,195584,0,0
36,36.0,3799,29,0,4992,46,5287,193419,0,0
37,37.0,3791,35,0,5009,33,5303,193910,0,0
38,38.0,3843,36,0,5014,43,5291,193003,0,0
39,39.0,3714,43,0,5046,37,5339,192544,0,0
40,40.0,3768,27,0,4945,35,5237,190963,0,0
41,41.0,3765,34,0,4900,28,5182,190026,0,0
42,42.0,3721,41,0,4923,41,5207,191353,0,0
43,43.0,3615,33,0,4953,32,5234,191058,0,0
44,44.0,3623,30,0,4942,49,5216,190796,0,0
45,45.0,3644,20,0,4756,41,5016,189888,0,0
46,46.0,3610,34,0,4761,31,5022,190482,0,0
47,47.0,3497,36,0,4622,44,4917,188878,0,0
48,48.0,3437,24,0,4528,45,4802,188180,0,0
49,49.0,3603,42,0,4771,31,5040,191346,0,0
50,50.0,3556,33,0,4770,49,5040,190276,0,0
51,51.0,3526,26,0,4688,30,4941,188436,0,0
52,52.0,3473,21,0,4642,42,4926,188293,0,0
53,53.0,3352,33,0,4638,40,4932,188079,0,0
54,54.0,3428,32,0,4617,41,4891,187848,0,0
55,55.0,3485,38,0,4664,33,4949,188232,0,0
56,56.0,3690,24,0,4780,41,5046,186892,0,0
57,57.0,3613,34,0,4962,28,5242,187522,0,0
58,58.0,3574,19,0,4883,37,5163,187492,0,0
59,59.0,3818,30,0,4857,40,5133,187689,0,0
60,60.0,3708,26,0,5018,45,5288,187194,0,0
61,61.0,3813,31,0,5047,37,5304,185015,0,0
62,62.0,3641,34,0,4973,48,5254,185491,0,0
63,63.0,3844,18,0,4950,49,5225,185175,0,0
64,64.0,3735,35,0,4899,36,5234,181912,0,0
65,65.0,3806,38,0,4881,38,5164,183297,0,0
66,66.0,3714,20,0,5015,46,5316,183982,0,0
67,67.0,3694,28,0,5035,30,5308,181485,0,0
68,68.0,3823,32,0,4843,33,5139,183624,0,0
69,69.0,3702,29,0,5001,40,5281,182605,0,0
70,70.0,3729,31,0,4901,35,5171,181772,0,0
71,71.0,3705,25,0,4989,46,5282,182939,0,0
72,72.0,3719,20,0,4912,48,5193,183537,0,0
73,73.0,3627,35,0,4767,31,5048,183361,0,0
74,74.0,3696,29,0,4966,42,5281,182850,0,0
75,75.0,3612,33,0,4781,39,5059,182283,0,0
76,76.0,3590,31,0,4892,42,5176,182780,0,0
77,77.0,3720,32,0,4959,49,5234,186365,0,0
78,78.0,3736,34,0,4914,44,5223,183926,0,0
79,79.0,3755,23,0,4803,35,5105,185197,0,0
80,80.0,3781,31,0,4905,30,5214,187182,0,0
81,81.0,3728,30,0,4953,37,5245,185976,0,0
82,82.0,3613,31,0,5022,45,5362,186148,0,0
83,83.0,3798,21,0,4965,32,5242,188129,0,0
84,84.0,3779,26,0,5065,36,5331,188738,0,0
85,85.0,3815,35,0,4829,41,5093,189260,0,0
86,86.0,3658,31,0,4897,33,5186,190085,0,0
87,87.0,3795,35,0,5015,42,5258,190384,0,0
88,88.0,3798,29,0,5087,34,5378,189186,0,0
89,89.0,3721,31,0,5022,42,5284,186390,0,0
90,90.0,3663,30,0,4991,33,5281,187310,0,0
91,91.0,3776,26,0,5144,43,5445,189869,0,0
92,92.0,3765,31,0,5029,35,5320,191806,0,0
93,93.0,3834,34,0,5108,49,5383,193109,0,0
94,94.0,3709,38,0,5061,39,5328,192996,0,0
95,95.0,3767,33,0,5023,42,5325,193030,0,0
96,96.0,3712,25,0,5012,31,5275,193482,0,0
97,97.0,3880,32,0,5022,39,5295,194919,0,0
98,98.0,3799,31,0,4997,40,5278,193326,0,0
99,99.0,3889,25,0,4953,37,5213,195085,0,0
100,100.0,3684,35,0,5043,49,5291,195797,0,0
101,101.0,3626,34,0,4828,48,5111,194285,0,0
102,102.0,3682,25,0,4905,41,5213,194398,0,0
103,103.0,3532,29,0,4824,38,5090,192753,0,0
104,104.0,3627,30,0,4694,50,4989,193487,0,0
105,105.0,3610,30,0,4775,44,5068,196035,0,0
106,106.0,3690,30,0,4780,41,5089,196522,0,0
107,107.0,3586,23,0,4841,24,5122,195972,0,0
108,108.0,3636,21,0,4809,40,5091,196465,0,0
109,109.0,3546,21,0,4772,46,5059,195758,0,0
110,110.0,3492,29,0,4834,46,5116,192644,0,0
111,111.0,3526,39,0,4629,60,4928,191894,0,0
112,112.0,3376,41,0,4684,32,4972,191491,0,0
113,113.0,3392,34,0,4588,50,4847,191697,0,0
114,114.0,3564,34,0,4737,42,4993,196292,0,0
115,115.0,3565,30,0,4614,36,4907,196081,0,0
116,116.0,3429,22,0,4693,45,4995,197214,0,0
117,117.0,3428,20,0,4747,41,5021,197494,0,0
118,118.0,3364,25,0,4644,42,4902,198200,0,0
119,119.0,3529,32,0,4611,42,4900,198648,0,0
120,120.0,3498,37,0,4763,51,5054,200084,0,0
121,121.0,3557,28,0,4848,41,5135,202205,0,0
122,122.0,3620,31,0,4800,50,5090,200742,0,0
123,123.0,3590,31,0,4777,45,5074,199412,0,0
124,124.0,3670,22,0,4950,44,5233,201450,0,0
125,125.0,3650,30,0,4877,45,5181,201349,0,0
126,126.0,3614,38,0,4810,41,5108,199379,0,0
