,time_histo_el_s,Ra1,Ra2,Ra3,Rb1,Rb2,Rb3,Rc1,Rc2,Rc3
0,0.0,5299,0,0,4458,0,5159,4587,0,0
1,1.0,5180,0,0,4373,0,5023,4578,0,0
2,2.0,5306,0,0,4371,0,5055,4544,0,0
3,3.0,5362,0,0,4313,0,5036,4476,0,0
4,4.0,5148,0,0,4343,0,5064,4594,0,0
5,5.0,5232,0,0,4374,0,5106,4451,0,0
6,6.0,5159,0,0,4472,0,5163,4678,0,0
7,7.0,5279,0,0,4226,0,4944,4578,0,0
8,8.0,5253,0,0,4326,0,5044,4236,0,0
9,9.0,5142,0,0,4321,0,5068,4482,0,0
10,10.0,5273,0,0,4342,0,5054,4679,0,0
11,11.0,5369,0,0,4324,0,5073,4591,0,0
12,12.0,5298,0,0,4459,0,5132,4509,0,0
13,13.0,5349,0,0,4407,0,5138,4485,0,0
14,14.0,5380,0,0,4398,0,5114,4483,0,0
15,15.0,5348,0,0,4567,0,5309,4653,0,0
16,16.0,5416,0,0,4430,0,5196,4470,0,0
17,17.0,5381,0,0,4388,0,5121,4420,0,0
18,18.0,5200,0,0,4461,0,5194,4419,0,0
19,19.0,5368,0,0,4363,0,5088,4421,0,0
20,20.0,5255,0,0,4437,0,5214,4508,0,0
21,21.0,5159,0,0,4330,0,5077,4579,0,0
22,22.0,5391,0,0,4482,0,5240,4458,0,0
23,23.0,5268,0,0,4469,0,5199,4549,0,0
24,24.0,5420,0,0,4494,0,5230,4498,0,0
25,25.0,5459,0,0,4480,0,5227,4571,0,0
26,26.0,5437,0,0,4484,0,5211,4514,0,0
27,27.0,5556,0,0,4462,0,5171,4435,0,0
28,29.0,5461,0,0,4449,0,5207,4573,0,0
29,29.0,5338,0,0,4509,0,5227,4465,0,0
30,30.0,5284,0,0,4266,0,5013,4401,0,0
31,32.0,5197,0,0,4364,0,5092,4502,0,0
32,33.0,5350,0,0,4320,0,5084,4415,0,0
33,34.0,5317,0,0,4471,0,5185,4527,0,0
34,35.0,5261,0,0,4438,0,5228,4541,0,0
35,36.0,5286,0,0,4404,0,5118,4457,0,0
36,37.0,5250,0,0,4342,0,5048,4579,0,0
37,38.0,5278,0,0,4320,0,5043,4555,0,0
38,39.0,5251,0,0,4431,0,5111,4445,0,0
39,40.0,5289,0,0,4389,0,5061,4455,0,0
40,41.0,5328,0,0,4512,0,5200,4613,0,0
41,42.0,5439,0,0,4457,0,5157,4504,0,0
42,43.0,5273,0,0,4301,0,4950,4440,0,0
43,44.0,5309,0,0,4438,0,5147,4498,0,0
44,45.0,5230,0,0,4457,0,5126,4463,0,0
45,46.0,5379,0,0,4406,0,5113,4544,0,0
46,47.0,5379,0,0,4408,0,5068,4616,0,0
47,48.0,5464,0,0,4340,0,4995,4539,0,0
48,49.0,5293,0,0,4217,0,4911,4501,0,0
49,50.0,5457,0,0,4354,0,5086,4370,0,0
50,51.0,5287,0,0,4357,0,5060,4493,0,0
51,52.0,5373,0,0,4499,0,5194,4396,0,0
52,53.0,5381,0,0,4495,0,5218,4577,0,0
53,54.0,5400,0,0,4377,0,5155,4453,0,0
54,55.0,5413,0,0,4401,0,5133,4545,0,0
55,56.0,5258,0,0,4353,0,5060,4558,0,0
56,57.0,5395,0,0,4382,0,5062,4486,0,0
57,58.0,5179,0,0,4458,0,5172,4454,0,0
58,59.0,5164,0,0,4401,0,5110,4466,0,0
59,60.0,5465,0,0,4444,0,5165,4513,0,0
60,61.0,5297,0,0,4325,0,5046,4332,0,0
61,62.0,5409,0,0,4464,0,5161,4362,0,0
