,time_histo_el_s,and1,and2,and3,or,bsm1,bsm2
0,0.0,5150,8,5150,8,0,8
1,1.0,5097,1,5097,1,0,1
2,2.0,5187,6,5187,6,0,6
3,3.0,5286,7,5286,7,0,7
4,4.0,5028,3,5028,3,0,3
5,5.0,5117,7,5117,7,0,7
6,6.0,5041,4,5041,4,0,4
7,7.0,5297,4,5297,4,0,4
8,8.0,5066,5,5066,5,0,5
9,9.0,4909,2,4909,2,0,2
10,10.0,5139,4,5139,4,0,4
11,11.0,5251,4,5251,4,0,4
12,12.0,5422,3,5422,3,0,3
13,13.0,4938,3,4938,3,0,3
14,14.0,5248,6,5248,6,0,6
15,15.0,5232,6,5232,6,0,6
16,16.0,5259,3,5259,3,0,3
17,17.0,5279,4,5279,4,0,4
18,18.0,5978,8,5978,8,0,8
19,19.0,5270,6,5270,6,0,6
20,20.0,5061,5,5061,5,0,5
21,21.0,5228,2,5228,2,0,2
22,22.0,5255,2,5255,2,0,2
23,23.0,5154,5,5154,5,0,5
24,24.0,5371,6,5371,6,0,6
25,25.0,4898,4,4898,4,0,4
26,26.0,5374,1,5374,1,0,1
27,27.0,5325,7,5325,7,0,7
28,29.0,4911,6,4911,6,0,6
29,30.0,5557,6,5557,6,0,6
30,31.0,4981,2,4981,2,0,2
31,32.0,4892,8,4892,8,0,8
32,33.0,5167,3,5167,3,0,3
33,34.0,5150,5,5150,5,0,5
34,35.0,5113,9,5113,9,0,9
35,36.0,5618,3,5618,3,0,3
36,37.0,4823,3,4823,3,0,3
37,38.0,5126,5,5126,5,0,5
38,39.0,5135,4,5135,4,0,4
39,40.0,5178,5,5178,5,0,5
40,41.0,5227,4,5227,4,0,4
41,42.0,5332,7,5332,7,0,7
42,43.0,5389,4,5389,4,0,4
43,44.0,4908,2,4908,2,0,2
44,45.0,5094,2,5094,2,0,2
45,46.0,5263,4,5263,4,0,4
46,47.0,5334,5,5334,5,0,5
47,48.0,5298,6,5298,6,0,6
48,49.0,6118,6,6118,6,0,6
