,time_histo_el_s,Ra1,Ra2,Ra3,Rb1,Rb2,Rb3,Rc1,Rc2,Rc3
0,0.0,2973,0,0,2533,0,2977,2681,0,0
1,1.0,5273,0,0,4138,0,4797,4147,0,0
2,2.0,5387,0,0,4411,0,5165,4446,0,0
3,3.0,5267,0,0,4462,0,5161,4559,0,0
4,4.0,5337,0,0,4442,0,5114,4327,0,0
5,5.0,5446,0,0,4415,0,5151,4464,0,0
6,6.0,5267,0,0,4486,0,5219,4533,0,0
7,7.0,5365,0,0,4503,0,5173,4469,0,0
8,8.0,5473,0,0,4483,0,5185,4445,0,0
9,10.0,5386,0,0,4555,0,5288,4565,0,0
10,11.0,5361,0,0,4455,0,5169,4582,0,0
11,12.0,5423,0,0,4584,0,5252,4548,0,0
12,13.0,5341,0,0,4364,0,5029,4587,0,0
13,14.0,5476,0,0,4500,0,5197,4494,0,0
14,15.0,5427,0,0,4467,0,5183,4475,0,0
15,16.0,5442,0,0,4459,0,5135,4521,0,0
16,17.0,5287,0,0,4400,0,5102,4371,0,0
17,18.0,5391,0,0,4514,0,5193,4601,0,0
18,19.0,5407,0,0,4494,0,5181,4464,0,0
19,20.0,5442,0,0,4393,0,5093,4524,0,0
20,21.0,5497,0,0,4527,0,5284,4476,0,0
21,22.0,5393,0,0,4390,0,5107,4488,0,0
22,23.0,5392,0,0,4441,0,5175,4451,0,0
23,24.0,5318,0,0,4476,0,5163,4476,0,0
24,25.0,5306,0,0,4344,0,5064,4499,0,0
25,26.0,5425,0,0,4572,0,5252,4429,0,0
26,27.0,5349,0,0,4402,0,5070,4486,0,0
27,28.0,5402,0,0,4444,0,5142,4525,0,0
28,29.0,5426,0,0,4527,0,5275,4489,0,0
29,30.0,5447,0,0,4601,0,5350,4487,0,0
30,31.0,5384,0,0,4497,0,5255,4487,0,0
31,32.0,5290,0,0,4413,0,5143,4554,0,0
32,33.0,5220,0,0,4290,0,4968,4402,0,0
33,34.0,5194,0,0,4413,0,5173,4542,0,0
34,35.0,5281,0,0,4390,0,5100,4582,0,0
35,36.0,5275,0,0,4433,0,5158,4624,0,0
36,37.0,5259,0,0,4398,0,5101,4555,0,0
37,38.0,5385,0,0,4475,0,5210,4714,0,0
38,39.0,5382,0,0,4382,0,5103,4682,0,0
39,40.0,5510,0,0,4433,0,5103,4420,0,0
40,41.0,5342,0,0,4357,0,5007,4398,0,0
41,42.0,5386,0,0,4370,0,5071,4513,0,0
42,43.0,5449,0,0,4392,0,5106,4659,0,0
43,44.0,5315,0,0,4342,0,5050,4390,0,0
44,45.0,5315,0,0,4545,0,5234,4534,0,0
45,46.0,5335,0,0,4504,0,5266,4472,0,0
46,47.0,5326,0,0,4413,0,5157,4403,0,0
47,48.0,5483,0,0,4486,0,5209,4532,0,0
48,49.0,5284,0,0,4401,0,5088,4479,0,0
49,50.0,5344,0,0,4424,0,5184,4399,0,0
50,51.0,5457,0,0,4364,0,5079,4593,0,0
51,52.0,5319,0,0,4495,0,5188,4580,0,0
52,53.0,5503,0,0,4577,0,5354,4555,0,0
53,54.0,5364,0,0,4338,0,5069,4462,0,0
54,55.0,5520,0,0,4469,0,5254,4524,0,0
55,56.0,5362,0,0,4494,0,5234,4524,0,0
56,57.0,5440,0,0,4531,0,5284,4525,0,0
57,58.0,5367,0,0,4526,0,5241,4401,0,0
58,59.0,5415,0,0,4383,0,5126,4406,0,0
59,60.0,5333,0,0,4330,0,5048,4416,0,0
60,61.0,5397,0,0,4395,0,5119,4579,0,0
61,62.0,5319,0,0,4416,0,5142,4580,0,0
62,63.0,5200,0,0,4503,0,5208,4549,0,0
63,64.0,5333,0,0,4331,0,5038,4420,0,0
64,65.0,5137,0,0,4257,0,4933,4381,0,0
65,66.0,5387,0,0,4278,0,5006,4463,0,0
66,67.0,5308,0,0,4387,0,5095,4333,0,0
67,68.0,5221,0,0,4379,0,5078,4531,0,0
68,69.0,5227,0,0,4338,0,5068,4466,0,0
69,70.0,5299,0,0,4370,0,5025,4352,0,0
70,71.0,5410,0,0,4462,0,5194,4429,0,0
71,72.0,5379,0,0,4398,0,5034,4513,0,0
72,73.0,5231,0,0,4427,0,5169,4472,0,0
73,74.0,5413,0,0,4425,0,5144,4488,0,0
74,75.0,5292,0,0,4478,0,5228,4536,0,0
75,76.0,5339,0,0,4418,0,5122,4370,0,0
76,77.0,5526,0,0,4479,0,5188,4277,0,0
77,78.0,5313,0,0,4512,0,5271,4453,0,0
78,79.0,5495,0,0,4485,0,5189,4481,0,0
79,80.0,5473,0,0,4356,0,5093,4469,0,0
80,81.0,5473,0,0,4457,0,5176,4404,0,0
81,82.0,5546,0,0,4484,0,5206,4465,0,0
82,83.0,5479,0,0,4576,0,5308,4415,0,0
83,84.0,5520,0,0,4613,0,5342,4456,0,0
