,time_histo_el_s,and1,and2,and3,or,bsm1,bsm2
0,0.0,3466,3,3466,3,0,3
1,1.0,4611,3,4611,3,0,3
2,2.0,5288,7,5288,7,0,7
3,3.0,5124,2,5124,2,0,2
4,4.0,5346,6,5346,6,0,6
5,5.0,5186,2,5186,2,0,2
6,6.0,5193,4,5193,4,0,4
7,8.0,5296,2,5296,2,0,2
8,9.0,5466,9,5466,9,0,9
9,10.0,5219,5,5219,5,0,5
10,11.0,5227,2,5227,2,0,2
11,12.0,5297,9,5297,9,0,9
12,13.0,5491,4,5491,4,0,4
13,14.0,5119,2,5119,2,0,2
14,15.0,5347,5,5347,5,0,5
15,16.0,5292,6,5292,6,0,6
16,17.0,5146,3,5146,3,0,3
17,18.0,5233,4,5233,4,0,4
18,19.0,5269,2,5269,2,0,2
19,20.0,5288,6,5288,6,0,6
20,21.0,5361,5,5361,5,0,5
21,22.0,5240,7,5240,7,0,7
22,23.0,5314,1,5314,1,0,1
23,24.0,5184,1,5184,1,0,1
24,25.0,5175,7,5175,7,0,7
25,26.0,5307,5,5307,5,0,5
26,27.0,5520,5,5520,5,0,5
27,28.0,4951,3,4951,3,0,3
28,29.0,5337,4,5337,4,0,4
29,30.0,5369,3,5369,3,0,3
30,31.0,5266,3,5266,3,0,3
31,32.0,5156,4,5156,4,0,4
32,33.0,5648,4,5648,4,0,4
33,34.0,4574,5,4574,5,0,5
34,35.0,5266,3,5266,3,0,3
35,36.0,5065,1,5065,1,0,1
36,37.0,5113,4,5113,4,0,4
37,38.0,5259,6,5259,6,0,6
38,39.0,5244,3,5244,3,0,3
39,40.0,5366,3,5366,3,0,3
40,41.0,5222,4,5222,4,0,4
41,42.0,5325,7,5325,7,0,7
42,43.0,5312,5,5312,5,0,5
43,44.0,5473,3,5473,3,0,3
44,45.0,4891,2,4891,2,0,2
45,46.0,5220,5,5220,5,0,5
46,47.0,5191,5,5191,5,0,5
47,48.0,5361,6,5361,6,0,6
48,49.0,5216,9,5216,9,0,9
49,50.0,5195,1,5195,1,0,1
50,51.0,5333,2,5333,2,0,2
51,52.0,5520,7,5520,7,0,7
52,53.0,5113,3,5113,3,0,3
53,54.0,5266,2,5266,2,0,2
54,55.0,5437,3,5437,3,0,3
55,56.0,5173,1,5173,1,0,1
