,time_histo_el_s,and1,and2,and3,or,bsm1,bsm2
0,0.0,3016,2,3016,2,1,1
1,1.0,2962,1,2962,1,0,0
2,2.0,3001,2,3001,2,0,0
3,3.0,3204,0,3204,0,0,0
4,4.0,3007,2,3007,2,0,0
5,5.0,3002,0,3002,0,0,0
6,6.0,3152,2,3152,2,1,1
7,7.0,3083,3,3083,3,1,1
8,8.0,3036,5,3036,5,1,1
9,9.0,3189,0,3189,0,0,0
10,10.0,3121,2,3121,2,0,0
11,11.0,3301,3,3301,3,0,0
12,12.0,3153,1,3153,1,0,0
13,13.0,3116,2,3116,2,0,0
14,14.0,2914,0,2914,0,0,0
15,15.0,3130,4,3130,4,1,1
16,16.0,3071,1,3071,1,1,1
17,17.0,2811,3,2811,3,0,0
18,18.0,3013,1,3013,1,1,1
19,19.0,3104,3,3104,3,1,1
20,20.0,3170,2,3170,2,1,1
21,21.0,3164,1,3164,1,0,0
22,22.0,3149,2,3149,2,1,1
23,23.0,3314,4,3314,4,0,0
24,24.0,3286,0,3286,0,0,0
25,25.0,3175,2,3175,2,0,0
26,26.0,3115,3,3115,3,0,0
27,27.0,1713,1,1713,1,1,1
28,28.0,2985,5,2985,5,1,1
29,29.0,1870,2,1870,2,1,1
30,30.0,3251,3,3251,3,0,0
31,31.0,3385,1,3385,1,0,0
32,32.0,3410,2,3410,2,0,0
33,33.0,3394,2,3394,2,0,0
34,34.0,3430,3,3430,3,0,0
35,35.0,3375,1,3375,1,0,0
36,36.0,3223,1,3223,1,0,0
37,37.0,3411,3,3411,3,2,2
38,38.0,3312,3,3312,3,2,2
39,39.0,3230,3,3230,3,1,1
40,40.0,3292,5,3292,5,1,1
41,41.0,3389,4,3389,4,1,1
42,42.0,3234,2,3234,2,1,1
43,43.0,3209,3,3209,3,0,0
44,44.0,3172,2,3172,2,0,0
45,45.0,3134,3,3134,3,1,1
46,46.0,3161,1,3161,1,0,0
47,47.0,3105,1,3105,1,1,1
48,48.0,3041,2,3041,2,0,0
49,49.0,3097,1,3097,1,0,0
50,50.0,3188,4,3188,4,2,2
51,51.0,3022,4,3022,4,1,1
52,52.0,3087,3,3087,3,0,0
53,53.0,2976,1,2976,1,0,0
54,54.0,3074,0,3074,0,0,0
55,55.0,3042,2,3042,2,0,0
56,56.0,3271,3,3271,3,1,1
57,57.0,3173,3,3173,3,0,0
58,58.0,3194,3,3194,3,0,0
59,59.0,3341,2,3341,2,0,0
60,60.0,3233,4,3233,4,0,0
61,61.0,3302,2,3302,2,0,0
62,62.0,3209,0,3209,0,0,0
63,63.0,3431,5,3431,5,0,0
64,64.0,3277,2,3277,2,0,0
65,65.0,3262,1,3262,1,1,1
66,66.0,3274,0,3274,0,0,0
67,67.0,3235,1,3235,1,0,0
68,68.0,3279,1,3279,1,0,0
69,69.0,3292,1,3292,1,0,0
70,70.0,3253,2,3253,2,1,1
71,71.0,3213,3,3213,3,0,0
72,72.0,3197,6,3197,6,1,1
73,73.0,3237,3,3237,3,1,1
74,74.0,3254,3,3254,3,0,0
75,75.0,3111,1,3111,1,0,0
76,76.0,3221,2,3221,2,1,1
77,77.0,3304,3,3304,3,1,1
78,78.0,3293,3,3293,3,0,0
79,79.0,3255,2,3255,2,0,0
80,80.0,3342,0,3342,0,0,0
81,81.0,3203,1,3203,1,0,0
82,82.0,3283,2,3283,2,0,0
83,83.0,3289,1,3289,1,0,0
84,84.0,3323,3,3323,3,2,2
85,85.0,3359,4,3359,4,0,0
86,86.0,3193,2,3193,2,0,0
87,87.0,3297,3,3297,3,0,0
88,88.0,3310,2,3310,2,1,1
89,89.0,3315,1,3315,1,0,0
90,90.0,3328,3,3328,3,0,0
91,91.0,3362,2,3362,2,0,0
92,92.0,3439,2,3439,2,0,0
93,93.0,3301,4,3301,4,2,2
94,94.0,3321,1,3321,1,0,0
95,95.0,3405,3,3405,3,0,0
96,96.0,3299,1,3299,1,0,0
97,97.0,3444,2,3444,2,1,1
98,98.0,3449,6,3449,6,1,1
99,99.0,3382,0,3382,0,0,0
100,100.0,3230,3,3230,3,1,1
101,101.0,3210,2,3210,2,0,0
102,102.0,3200,5,3200,5,1,1
103,103.0,3181,1,3181,1,0,0
104,104.0,3175,2,3175,2,0,0
105,105.0,3191,2,3191,2,0,0
106,106.0,3171,2,3171,2,0,0
107,107.0,3135,3,3135,3,0,0
108,108.0,3274,3,3274,3,0,0
109,109.0,2981,4,2981,4,0,0
110,110.0,3158,0,3158,0,0,0
111,111.0,2996,2,2996,2,0,0
112,112.0,2982,4,2982,4,1,1
113,113.0,3044,1,3044,1,0,0
114,114.0,3115,2,3115,2,0,0
115,115.0,3063,1,3063,1,0,0
116,116.0,3024,0,3024,0,0,0
117,117.0,3017,5,3017,5,1,1
118,118.0,2976,5,2976,5,1,1
119,119.0,3015,4,3015,4,1,1
120,120.0,3135,1,3135,1,0,0
121,121.0,3059,1,3059,1,0,0
122,122.0,3112,4,3112,4,1,1
123,123.0,3107,5,3107,5,1,1
124,124.0,3151,6,3151,6,1,1
125,125.0,3200,3,3200,3,1,1
126,126.0,3130,0,3130,0,0,0
127,127.0,3042,3,3042,3,0,0
128,128.0,2877,2,2877,2,1,1
129,129.0,2990,1,2990,1,0,0
130,130.0,3137,3,3137,3,0,0
131,131.0,3133,0,3133,0,0,0
132,132.0,3072,2,3072,2,0,0
133,133.0,3269,0,3269,0,0,0
134,134.0,3136,2,3136,2,0,0
135,135.0,3079,1,3079,1,0,0
136,136.0,3291,4,3291,4,0,0
137,137.0,3274,3,3274,3,1,1
138,138.0,3209,5,3209,5,0,0
139,139.0,3101,1,3101,1,0,0
