,time_histo_el_s,Ra1,Ra2,Ra3,Rb1,Rb2,Rb3,Rc1,Rc2,Rc3
0,0.0,6082,0,3165,4937,0,5578,3172,0,0
1,1.0,6290,0,3336,4936,0,5166,3061,0,0
2,2.0,6422,0,3423,4934,0,5186,3120,0,0
3,3.0,6327,0,3314,5043,0,5268,3103,0,0
4,4.0,6314,0,3374,5067,0,5282,3157,0,0
5,5.0,6386,0,3367,5096,0,5307,3229,0,0
6,6.0,6473,0,3394,5236,0,5489,3159,0,0
7,7.0,6315,0,3369,5044,0,5289,3195,0,0
8,8.0,6326,0,3248,5034,0,5259,3185,0,0
9,9.0,6274,0,3245,5088,0,5343,3222,0,0
10,10.0,6306,0,3396,5041,0,5302,3233,0,0
11,11.0,6395,0,3426,5022,0,5267,3183,0,0
12,12.0,6279,0,3317,4968,0,5196,3104,0,0
13,13.0,6297,0,3338,5084,0,5326,3174,0,0
14,14.0,6396,0,3426,5065,0,5304,2979,0,0
15,15.0,6208,0,3343,5029,0,5281,3060,0,0
16,16.0,6233,0,3311,5009,0,5288,3099,0,0
17,17.0,6285,0,3356,5047,0,5300,3150,0,0
18,18.0,6274,0,3363,5004,0,5262,2987,0,0
19,19.0,6254,0,3378,4801,0,5059,2935,0,0
20,20.0,6184,0,3335,5017,0,5315,2980,0,0
21,21.0,6234,0,3308,4936,0,5189,2912,0,0
22,22.0,6289,0,3381,4994,0,5244,3131,0,0
23,23.0,6223,0,3273,4960,0,5223,3037,0,0
24,24.0,6317,0,3337,4852,0,5103,3027,0,0
25,25.0,6427,0,3406,5043,0,5284,3204,0,0
26,26.0,6323,0,3380,5130,0,5367,3297,0,0
27,27.0,6438,0,3483,5143,0,5380,3280,0,0
28,28.0,6564,0,3539,5192,0,5449,3477,0,0
29,29.0,6448,0,3394,5093,0,5322,3380,0,0
30,30.0,6667,0,3569,5129,0,5355,3405,0,0
31,31.0,6487,0,3505,5143,0,5401,3442,0,0
32,32.0,6624,0,3606,5247,0,5479,3518,0,0
33,33.0,6643,0,3537,5254,0,5481,3502,0,0
34,34.0,6706,0,3510,5330,0,5590,3514,0,0
35,35.0,6548,0,3489,5164,0,5384,3511,0,0
36,36.0,6492,0,3465,5135,0,5363,3403,0,0
37,37.0,6551,0,3526,5273,0,5514,3576,0,0
38,38.0,6602,0,3410,5273,0,5500,3522,0,0
39,39.0,6456,0,3470,5250,0,5444,3415,0,0
40,40.0,6648,0,3520,5184,0,5409,3547,0,0
41,41.0,6610,0,3489,5263,0,5483,3439,0,0
42,42.0,6513,0,3383,5160,0,5399,3491,0,0
43,43.0,6347,0,3338,5101,0,5363,3231,0,0
44,44.0,6400,0,3445,5087,0,5302,3135,0,0
45,45.0,6479,0,3486,5053,0,5277,3132,0,0
