,time_histo_el_s,and1,and2,and3,or,bsm1,bsm2
0,0.0,0,4,6114,4,0,4
1,1.0,2,9,6183,9,0,9
2,2.0,1,7,6369,7,0,7
3,3.0,3,2,6315,2,0,2
4,4.0,2,0,6319,0,0,0
5,5.0,0,2,6315,2,0,2
6,6.0,2,6,6424,6,0,6
7,7.0,1,5,6437,5,0,5
8,8.0,1,6,6242,6,0,6
9,9.0,3,4,6221,4,0,4
10,10.0,3,3,6284,3,0,3
11,11.0,2,7,6427,7,0,7
12,12.0,3,4,6240,4,0,4
13,13.0,3,4,6163,4,0,4
14,14.0,1,7,6335,7,0,7
15,15.0,4,4,6205,4,0,4
16,16.0,5,4,6248,4,0,4
17,17.0,3,3,6313,3,0,3
18,18.0,1,5,6184,5,0,5
19,19.0,2,6,6244,6,0,6
20,20.0,2,5,6262,5,0,5
21,21.0,1,3,6159,3,0,3
22,22.0,1,1,6282,1,0,1
23,23.0,2,5,6261,5,0,5
24,24.0,0,5,6194,5,0,5
25,25.0,1,6,6360,6,0,6
26,26.0,1,6,6322,6,0,6
27,27.0,2,5,6376,5,0,5
28,28.0,1,6,6509,6,0,6
29,29.0,0,9,6462,9,0,9
30,30.0,3,9,6653,9,0,9
31,31.0,1,5,6508,5,0,5
32,32.0,3,5,6640,5,0,5
33,33.0,3,4,6538,4,0,4
34,34.0,3,8,6618,8,0,8
35,35.0,1,8,6652,8,0,8
36,36.0,3,5,6420,5,0,5
37,37.0,5,0,6571,0,0,0
38,38.0,1,7,6573,7,0,7
39,39.0,5,5,6500,5,0,5
40,40.0,2,10,6600,10,0,10
41,41.0,3,9,6691,9,0,9
42,42.0,3,1,6413,1,0,1
43,43.0,5,3,6278,3,0,3
44,44.0,1,4,6407,4,0,4
45,45.0,1,5,6394,5,0,5
46,46.0,3,3,6328,3,0,3
47,47.0,3,6,6310,6,0,6
48,48.0,2,3,6102,3,0,3
49,49.0,1,5,6348,5,0,5
50,50.0,1,8,6431,8,0,8
51,51.0,2,6,6328,6,0,6
52,52.0,0,6,6404,6,0,6
53,53.0,1,4,6256,4,0,4
54,54.0,1,6,6425,6,0,6
55,55.0,3,7,6433,7,0,7
56,56.0,0,8,6269,8,0,8
57,57.0,4,7,6289,7,0,7
58,58.0,1,5,6281,5,0,5
59,59.0,3,4,6260,4,0,4
60,60.0,2,3,6233,3,0,3
61,61.0,2,5,6390,5,0,5
62,62.0,6,9,6376,9,0,9
63,63.0,7,4,6361,4,0,4
64,64.0,2,5,6402,5,0,5
65,65.0,7,7,6484,7,0,7
66,66.0,1,6,6432,6,0,6
67,67.0,3,7,6385,7,0,7
68,68.0,0,6,6310,6,0,6
69,69.0,3,8,6462,8,0,8
70,70.0,3,6,6495,6,0,6
71,71.0,3,7,6463,7,0,7
72,72.0,2,4,6558,4,0,4
