,time_histo_el_s,Ra1,Ra2,Ra3,Rb1,Rb2,Rb3,Rc1,Rc2,Rc3
0,0.0,2695,1456,0,88516,84572,92218,224038,0,0
1,1.0,2845,1561,0,88407,84611,92244,224505,0,0
2,2.0,2613,1460,0,88696,84795,92466,224221,0,0
3,3.0,2697,1468,0,89701,85889,93342,223416,0,0
4,4.0,2731,1582,0,90144,86399,93839,221384,0,0
5,5.0,2677,1505,0,90941,87290,94533,221003,0,0
6,6.0,2702,1490,0,90693,87091,94215,222309,0,0
7,7.0,2725,1452,0,90462,86887,93854,222943,0,0
8,8.0,2685,1593,0,91119,87618,94548,224084,0,0
9,9.0,2628,1559,0,91436,87855,94874,222968,0,0
10,10.0,2672,1531,0,92276,88876,95650,224553,0,0
11,11.0,2668,1644,0,92846,89418,96157,222593,0,0
12,12.0,2697,1652,0,93286,89922,96526,224469,0,0
13,13.0,2722,1584,0,93422,90075,96654,226280,0,0
14,14.0,2809,1575,0,94052,90771,97170,226276,0,0
15,15.0,2746,1603,0,94611,91375,97601,227227,0,0
16,16.0,2763,1563,0,94508,91486,97550,226685,0,0
17,17.0,2711,1585,0,94946,91805,97976,227734,0,0
18,18.0,2833,1660,0,94911,91730,97944,227138,0,0
19,19.0,2787,1685,0,94975,91936,97952,228171,0,0
20,20.0,2677,1589,0,95078,92006,98060,225981,0,0
21,21.0,2715,1581,0,95347,92365,98336,226624,0,0
22,22.0,2721,1603,0,95410,92338,98463,225239,0,0
23,23.0,2737,1558,0,95267,92254,98141,225189,0,0
24,24.0,2666,1575,0,95541,92550,98481,224308,0,0
25,25.0,2719,1586,0,94397,91394,97329,222014,0,0
26,26.0,2709,1590,0,94818,91814,97713,220893,0,0
27,27.0,2691,1651,0,96713,93719,99542,220882,0,0
28,28.0,2678,1687,0,97299,94382,100135,222108,0,0
29,29.0,2692,1672,0,98005,94997,100679,222625,0,0
30,30.0,2727,1623,0,96430,93492,99236,220927,0,0
31,31.0,2775,1596,0,97520,94707,100370,225452,0,0
32,32.0,2659,1711,0,97889,95003,100728,224149,0,0
33,33.0,2792,1619,0,96401,93512,99171,221942,0,0
34,34.0,2798,1605,0,96609,93674,99361,221732,0,0
35,35.0,2675,1714,0,98205,95389,100860,224203,0,0
36,36.0,2742,1610,0,96842,93953,99622,221802,0,0
37,37.0,2649,1675,0,97267,94470,99871,223292,0,0
38,38.0,2779,1713,0,97220,94413,99893,221744,0,0
39,39.0,2679,1723,0,97805,95097,100359,222338,0,0
40,40.0,2775,1616,0,98162,95613,100652,222066,0,0
41,41.0,2754,1641,0,98850,96324,101161,224437,0,0
42,42.0,2650,1721,0,100874,98447,103249,224193,0,0
43,43.0,2613,1727,0,102281,99869,104497,220944,0,0
44,44.0,2763,1686,0,103316,101058,105508,223508,0,0
45,45.0,2712,1781,0,103297,100948,105515,221903,0,0
46,46.0,2585,1778,0,103170,100853,105322,220934,0,0
47,47.0,2675,1797,0,104836,102560,107043,221134,0,0
48,48.0,2644,1871,0,105326,103119,107333,219452,0,0
49,49.0,2561,1809,0,106575,104385,108581,219315,0,0
50,50.0,2721,1781,0,106183,103912,108289,220245,0,0
51,51.0,2595,1744,0,104591,102239,106807,217950,0,0
52,52.0,2631,1739,0,107742,105339,109824,221983,0,0
53,53.0,2620,1773,0,107129,104962,109141,220358,0,0
54,54.0,2624,1777,0,106857,104645,108864,221809,0,0
55,55.0,2613,1759,0,105231,102656,107546,222939,0,0
56,56.0,2750,1692,0,102862,100042,105531,221386,0,0
57,57.0,2797,1780,0,102763,99938,105476,224523,0,0
58,58.0,2729,1705,0,101054,98330,103724,222932,0,0
59,59.0,2701,1742,0,101265,98461,103963,224546,0,0
60,60.0,2607,1683,0,100645,97895,103249,222952,0,0
61,61.0,2715,1679,0,101050,98180,103673,222192,0,0
62,62.0,2704,1735,0,100895,98019,103629,222039,0,0
63,63.0,2774,1703,0,101279,98363,104088,222226,0,0
64,64.0,2693,1718,0,99567,96663,102264,219733,0,0
65,65.0,2727,1657,0,101364,98583,104035,224683,0,0
66,66.0,2726,1684,0,101278,98449,103959,223804,0,0
67,67.0,2830,1761,0,104308,101491,106994,223466,0,0
68,68.0,2646,1710,0,104811,102073,107445,223686,0,0
69,69.0,2685,1754,0,104877,102228,107378,222017,0,0
