,time_histo_el_s,and1,and2,and3,or,bsm1,bsm2
0,0.0,2430,23,2430,23,3,3
1,1.0,2539,14,2539,14,1,1
2,2.0,2352,30,2352,30,8,8
3,3.0,2405,21,2405,21,4,4
4,4.0,2469,23,2469,23,4,4
5,5.0,2419,23,2419,23,6,6
6,6.0,2438,23,2438,23,5,5
7,7.0,2461,20,2461,20,1,1
8,8.0,2398,23,2398,23,1,1
9,9.0,2392,22,2392,22,4,4
10,10.0,2462,31,2462,31,4,4
11,11.0,2363,21,2363,21,2,2
12,12.0,2498,33,2498,33,3,3
13,13.0,2469,19,2469,19,2,2
14,14.0,2552,22,2552,22,5,5
15,15.0,2400,24,2400,24,4,4
16,16.0,2528,19,2528,19,2,2
17,17.0,2511,26,2511,26,2,2
18,18.0,2524,27,2524,27,1,1
19,19.0,2412,20,2412,20,1,1
20,20.0,2378,17,2378,17,0,0
21,21.0,2477,28,2477,28,2,2
22,22.0,2446,22,2446,22,2,2
23,23.0,2545,21,2545,21,3,3
24,24.0,2380,21,2380,21,0,0
25,25.0,2460,29,2460,29,7,7
26,26.0,2422,19,2422,19,3,3
27,27.0,2380,21,2380,21,3,3
28,28.0,2377,18,2377,18,3,3
29,29.0,2465,28,2465,28,1,1
30,30.0,2451,24,2451,24,2,2
31,31.0,2443,26,2443,26,5,5
32,32.0,2437,23,2437,23,3,3
33,33.0,2528,26,2528,26,4,4
34,34.0,2447,28,2447,28,6,6
35,35.0,2392,25,2392,25,2,2
36,36.0,2465,20,2465,20,2,2
37,37.0,2490,17,2490,17,3,3
38,38.0,2475,28,2475,28,3,3
39,39.0,2450,22,2450,22,0,0
40,40.0,2531,29,2531,29,5,5
41,41.0,2379,25,2379,25,2,2
42,42.0,2435,20,2435,20,0,0
43,43.0,2355,31,2355,31,3,3
44,44.0,2437,22,2437,22,3,3
45,45.0,2359,21,2359,21,2,2
46,46.0,2303,19,2303,19,1,1
47,47.0,2363,33,2363,33,7,7
48,48.0,2312,27,2312,27,2,2
49,49.0,2308,25,2363,25,2,2
50,50.0,0,22,2300,22,1,1
51,51.0,891,28,2258,28,3,3
52,52.0,1533,32,2419,32,6,6
53,53.0,1552,30,2250,30,2,2
54,54.0,1611,23,2327,23,5,5
55,55.0,1429,90658,2275,90658,1972,1972
56,56.0,1522,91218,2318,91218,1964,1964
