,time_histo_el_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0,0.0,168608,168121,2,0,0,0,168608,168121
1,2.0,216191,224211,2,0,0,0,216191,224211
2,4.0,214156,225409,6,1,1,1,214156,225409
3,6.0,212593,228972,2,0,0,0,212593,228972
4,8.0,211757,234890,4,0,1,0,211757,234890
5,10.0,211957,226854,4,1,0,0,211957,226854
6,12.0,213773,221781,7,0,2,0,213773,221781
7,14.0,213264,223843,3,0,0,0,213264,223843
8,16.0,213224,208739,4,0,0,0,213224,208739
9,18.0,211535,198323,4,0,0,0,211535,198323
10,20.0,217488,205234,3,1,0,0,217488,205234
11,22.0,221600,220809,4,1,1,0,221600,220809
12,24.0,220637,243217,4,0,1,0,220637,243217
13,26.0,218927,240753,2,0,0,0,218927,240753
14,28.0,218756,233675,5,1,1,0,218756,233675
15,30.0,217912,230541,0,0,0,0,217912,230541
16,32.0,215826,227533,4,1,0,0,215826,227533
17,34.0,215657,216963,6,0,1,0,215657,216963
18,36.0,215202,211489,4,0,0,0,215202,211489
19,38.0,216228,189965,8,0,1,0,216228,189965
20,40.0,216459,199971,1,0,0,0,216459,199971
21,42.0,215840,219029,4,0,0,0,215840,219029
22,44.0,217394,229839,2,0,0,0,217394,229839
23,46.0,215837,215719,6,0,1,0,215837,215719
24,48.0,217155,211186,2,0,0,0,217155,211186
25,50.0,219363,224761,6,1,0,0,219363,224761
26,52.0,217889,225866,3,0,0,0,217889,225866
27,54.0,214179,228098,6,1,2,1,214179,228098
28,56.0,211373,216510,3,0,1,0,211373,216510
29,58.0,211191,196990,3,1,0,0,211191,196990
30,60.0,212452,193422,4,0,0,0,212452,193422
31,62.0,213217,191830,5,1,0,0,213217,191830
32,64.0,216048,196187,6,0,0,0,216048,196187
33,66.0,216057,198972,3,1,0,0,216057,198972
34,68.0,217698,184007,5,0,0,0,217698,184007
35,70.0,218910,169184,4,0,0,0,218910,169184
36,72.0,216578,179723,5,0,0,0,216578,179723
37,74.0,215094,184109,2,0,0,0,215094,184109
38,76.0,216544,196466,2,0,0,0,216544,196466
39,78.0,215333,210231,5,1,0,0,215333,210231
40,80.0,215516,212456,3,0,0,0,215516,212456
41,82.0,210865,213746,4,0,1,0,210865,213746
42,84.0,213549,220892,2,0,0,0,213549,220892
43,86.0,215591,231043,3,0,0,0,215591,231043
44,88.0,214238,235664,5,0,1,0,214238,235664
45,90.0,211728,240195,5,0,0,0,211728,240195
46,92.0,209929,243341,5,0,0,0,209929,243341
47,94.0,207754,237396,1,0,0,0,207754,237396
48,96.0,208361,232620,7,0,1,0,208361,232620
49,98.0,208981,225837,4,0,0,0,208981,225837
50,100.0,208629,223278,1,0,0,0,208629,223278
51,102.0,208657,217161,8,1,0,0,208657,217161
52,104.0,208527,215522,2,0,0,0,208527,215522
53,106.0,206939,213759,4,0,0,0,206939,213759
54,108.0,206009,215589,7,1,0,0,206009,215589
55,110.0,206134,223756,1,0,0,0,206134,223756
56,112.0,207882,218674,1,0,0,0,207882,218674
57,114.0,210339,212343,4,0,0,0,210339,212343
58,116.0,211216,212102,4,0,0,0,211216,212102
59,118.0,208999,214796,3,0,1,0,208999,214796
60,120.0,208579,215311,3,0,0,0,208579,215311
61,122.0,207734,209179,1,0,1,0,207734,209179
62,124.0,207483,211327,6,1,0,0,207483,211327
63,126.0,208107,214083,7,0,0,0,208107,214083
64,128.0,207637,211579,2,0,0,0,207637,211579
65,130.0,205384,213309,3,0,0,0,205384,213309
66,132.0,204471,213856,5,0,1,0,204471,213856
67,134.0,206587,217935,4,0,0,0,206587,217935
68,136.0,206847,220155,8,0,0,0,206847,220155
69,138.0,210657,220927,3,0,0,0,210657,220927
70,140.0,210061,218239,8,0,0,0,210061,218239
71,142.0,210616,220101,2,0,0,0,210616,220101
72,144.0,211393,219324,4,0,0,0,211393,219324
73,146.0,211380,217026,4,0,1,0,211380,217026
74,148.0,212086,215707,1,1,0,0,212086,215707
75,150.0,211165,219444,3,0,0,0,211165,219444
76,152.0,210641,219719,4,0,0,0,210641,219719
77,155.0,211566,234532,3,0,0,0,211566,234532
78,157.0,209971,237830,5,0,0,0,209971,237830
79,159.0,209034,228574,0,0,0,0,209034,228574
80,161.0,208147,217461,4,0,0,0,208147,217461
81,163.0,203886,217735,2,0,0,0,203886,217735
82,165.0,203554,199764,3,0,0,0,203554,199764
83,167.0,211956,188541,1,0,0,0,211956,188541
84,169.0,213468,197447,6,0,0,0,213468,197447
85,171.0,214256,200027,7,0,0,0,214256,200027
86,173.0,215122,207649,2,1,0,0,215122,207649
87,175.0,214250,215730,5,1,0,0,214250,215730
88,177.0,213653,220883,6,0,0,0,213653,220883
89,179.0,213516,225098,5,1,0,0,213516,225098
90,181.0,216882,228236,2,0,0,0,216882,228236
91,183.0,222474,232461,3,0,0,0,222474,232461
92,185.0,221277,230103,4,1,0,0,221277,230103
93,187.0,216802,227551,2,0,0,0,216802,227551
94,189.0,218345,224959,9,0,2,0,218345,224959
95,191.0,221058,223844,6,0,0,0,221058,223844
96,193.0,220210,223071,1,0,0,0,220210,223071
97,195.0,216516,218255,2,0,0,0,216516,218255
98,197.0,214906,219493,9,0,0,0,214906,219493
99,199.0,214030,218222,2,0,0,0,214030,218222
100,201.0,214749,216941,4,0,1,0,214749,216941
101,203.0,216812,217358,3,0,0,0,216812,217358
102,205.0,218316,222581,2,0,0,0,218316,222581
103,207.0,217767,228014,4,1,0,0,217767,228014
104,209.0,215316,228000,4,0,0,0,215316,228000
105,211.0,215707,235878,4,0,0,0,215707,235878
106,213.0,215932,233809,0,0,0,0,215932,233809
107,215.0,221068,232186,0,0,0,0,221068,232186
108,217.0,219481,228155,5,1,1,0,219481,228155
109,219.0,219259,226474,8,0,2,0,219259,226474
110,221.0,218858,225598,7,1,0,0,218858,225598
111,223.0,218289,223746,1,0,0,0,218289,223746
112,225.0,217494,224201,2,0,1,0,217494,224201
113,227.0,217240,220285,13,1,0,0,217240,220285
114,229.0,220013,219710,2,0,0,0,220013,219710
115,231.0,221433,221237,4,0,0,0,221433,221237
116,233.0,221891,218856,5,2,0,0,221891,218856
117,235.0,223771,221200,7,1,1,0,223771,221200
118,237.0,221468,224381,3,1,0,0,221468,224381
119,239.0,216827,221620,7,1,0,0,216827,221620
