,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,117186,853,620,114301,799,723,171142,1020,729,146238,901,573
1,2.0,89948,647,423,86887,574,556,130305,826,581,111547,764,413
2,4.0,118278,813,610,114248,759,742,171121,1079,738,146642,960,534
3,6.0,117284,821,579,112576,814,682,169967,1016,781,146013,919,511
4,8.0,117386,773,580,113284,792,753,170816,1127,703,147196,922,547
5,10.0,117781,805,610,113648,789,734,171146,995,745,147185,941,539
6,12.0,117112,768,546,113772,834,759,170379,1075,756,146874,862,528
7,14.0,117871,821,603,113656,813,716,171067,1034,723,146708,905,465
8,16.0,117407,784,617,114185,797,726,170807,1024,762,145810,873,507
9,18.0,117158,861,634,114357,772,755,170394,1089,715,145438,935,542
10,20.0,117416,812,606,113918,763,798,170408,1096,729,145598,931,529
11,22.0,117526,810,617,114399,759,792,170085,1058,748,145660,913,513
12,24.0,117946,844,593,114480,811,703,170969,1072,732,146836,948,548
13,26.0,117133,812,605,114608,796,741,170775,1091,690,146567,899,567
14,28.0,117451,772,634,114421,811,698,170395,1037,738,145609,889,521
15,30.0,117518,788,604,113182,811,715,169930,1073,749,146379,896,489
16,32.0,116743,825,600,112046,762,703,169484,1062,752,146393,945,515
17,34.0,116870,850,578,112459,776,746,169902,1059,742,146169,847,519
18,36.0,117169,798,583,112937,822,708,169740,1043,701,145656,926,507
19,38.0,116866,868,618,113271,738,710,169898,1062,682,145784,906,502
20,40.0,117363,770,602,113099,774,697,169329,1032,733,145537,889,459
21,42.0,116476,815,590,112933,791,689,169227,1062,687,145506,958,534
22,44.0,116560,814,585,112745,752,713,168250,1032,753,144965,896,549
23,46.0,117087,834,554,113341,762,725,169215,970,786,145307,929,523
24,48.0,116870,754,596,113919,724,714,169324,1030,705,145185,878,545
25,50.0,117130,809,571,114305,825,752,169424,1075,735,144717,908,484
26,52.0,117146,756,585,114087,796,784,169913,1045,740,144136,964,509
27,54.0,117228,791,638,114414,823,746,169646,1053,737,144694,1000,545
28,56.0,116577,817,608,113804,786,689,168785,985,754,144068,936,543
29,58.0,116412,822,587,113686,794,711,168758,994,766,143586,938,554
30,60.0,116678,789,605,113789,809,759,169178,1091,723,144844,855,562
31,62.0,116860,807,594,113647,787,746,169643,1098,737,144304,987,505
32,64.0,117441,771,582,113900,840,762,169647,1073,785,144823,938,515
33,66.0,116770,822,605,114773,767,716,169081,1033,719,144573,895,523
34,68.0,116928,794,596,115160,819,688,168988,1080,697,143263,917,549
35,70.0,118113,816,625,116650,801,743,171093,1093,756,144197,922,477
36,72.0,118347,790,610,117466,775,715,170100,1044,748,144223,937,497
37,74.0,117712,799,608,116863,806,730,170111,1033,758,143410,950,513
38,76.0,117189,764,605,117127,842,721,170352,1040,748,143589,919,509
39,78.0,117206,813,522,116189,835,763,169405,1014,713,143233,929,547
40,80.0,116832,796,569,115585,776,750,169818,1015,747,143817,926,515
41,82.0,117262,859,609,115825,801,704,169704,1015,759,144459,932,501
42,84.0,117840,772,585,114897,786,728,170523,983,659,144736,951,511
43,86.0,116419,783,594,115100,830,700,169561,1015,760,143873,934,510
44,88.0,117157,801,565,114627,813,748,169403,1064,762,144206,934,553
45,90.0,116562,794,580,114332,803,729,168773,1070,739,144510,836,513
46,92.0,116765,815,625,114401,815,720,170038,981,721,144987,903,499
47,94.0,118025,802,591,114608,808,739,170349,1037,757,145707,912,518
48,96.0,117739,836,592,114617,782,721,170915,1061,670,146374,918,529
49,98.0,117329,778,644,115150,753,699,170860,1054,796,146441,893,532
50,100.0,117515,818,594,114584,793,736,170705,1090,698,145577,883,511
51,102.0,117982,837,573,115445,812,740,170136,968,710,145490,927,503
52,104.0,116871,781,621,114965,823,760,170040,1050,752,144623,850,553
53,106.0,117378,788,637,115649,790,748,170852,1034,741,145119,915,521
54,108.0,117725,472,272,114240,374,303,169433,668,321,145256,627,239
55,110.0,117781,376,164,114739,250,221,170983,519,211,144993,568,174
56,112.0,117540,377,182,115223,272,207,170737,492,198,145875,538,176
57,114.0,117801,397,161,116173,255,198,171253,504,217,145301,594,150
58,116.0,117545,412,161,116485,275,181,170655,510,214,144430,524,179
59,118.0,118169,351,169,116196,280,237,169889,490,204,145276,582,182
60,120.0,117851,351,158,115702,266,217,170782,567,218,145124,589,185
61,122.0,117941,361,152,115329,250,211,170152,553,210,145459,550,158
62,124.0,118120,382,167,115500,238,198,171385,539,200,145743,595,155
63,126.0,118647,375,165,115081,282,215,171366,548,231,146212,556,155
64,128.0,117611,374,179,115921,268,198,170446,512,199,145514,545,160
65,130.0,117880,365,140,114956,266,197,170233,521,224,144627,579,149
66,132.0,117129,404,158,115161,291,242,169073,506,216,143278,580,164
67,134.0,116660,436,174,116108,272,218,168810,496,222,142834,565,173
68,136.0,116362,367,160,115944,288,209,169123,544,222,142151,581,163
69,138.0,116786,381,160,116118,291,209,169340,563,202,141957,577,196
70,140.0,116343,393,198,116482,295,204,169315,529,204,141498,598,169
71,142.0,115865,370,175,116026,257,204,168393,570,203,141878,576,157
72,144.0,115961,359,148,115732,246,199,168313,533,202,141780,579,172
73,146.0,116345,324,184,115752,281,219,168220,531,236,142381,544,173
74,148.0,117302,371,178,115422,277,209,170218,556,216,144344,547,150
75,150.0,117583,353,169,115585,258,217,170209,560,220,145320,566,194
76,152.0,117114,396,155,115192,268,210,169293,489,189,145308,588,170
77,154.0,117738,382,149,115882,260,218,171243,502,243,145599,574,155
78,156.0,118006,343,169,115322,272,176,171414,486,182,145745,561,157
79,158.0,117858,397,134,115937,273,202,170979,514,170,145559,538,160
80,160.0,117981,366,163,115131,296,192,170940,540,204,145389,556,168
81,162.0,117935,357,138,114918,249,214,170655,581,197,145782,575,221
82,164.0,118113,395,168,114597,237,227,170634,496,206,146599,532,185
83,166.0,116892,410,151,113804,285,207,169837,564,226,145849,541,170
84,168.0,117527,354,151,114716,256,188,170216,479,207,145635,542,168
85,170.0,117196,367,169,115127,247,171,169416,526,211,144257,565,162
