,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,233,8,19,0
1,2.0,203,9,20,0
2,4.0,273,18,23,0
3,6.0,230,6,19,0
4,8.0,253,14,27,0
5,10.0,250,18,16,1
6,12.0,264,13,27,1
7,14.0,256,10,19,0
8,16.0,256,13,27,1
9,18.0,292,20,26,1
10,20.0,232,10,14,0
11,22.0,237,12,23,2
12,24.0,247,14,16,0
13,26.0,274,12,17,0
14,28.0,285,20,25,2
15,30.0,259,11,18,0
16,32.0,233,9,22,0
17,34.0,246,13,15,0
18,36.0,249,12,23,0
19,38.0,269,11,21,2
20,40.0,265,17,21,0
21,42.0,277,17,20,0
22,44.0,243,13,19,0
23,46.0,273,17,19,0
24,48.0,253,13,19,0
25,50.0,281,12,18,1
26,52.0,261,15,16,1
27,54.0,258,13,24,0
28,56.0,240,8,15,1
29,58.0,267,18,20,0
30,60.0,270,21,19,1
31,62.0,257,14,22,0
32,64.0,241,10,16,1
33,66.0,243,7,26,0
34,68.0,270,11,22,0
35,70.0,257,14,18,1
36,72.0,248,13,27,1
37,74.0,269,14,23,0
38,76.0,256,16,18,1
39,78.0,260,14,22,0
40,80.0,280,18,18,0
41,82.0,270,16,24,0
42,84.0,268,17,23,1
43,86.0,258,14,24,0
44,88.0,256,13,19,0
45,90.0,234,10,21,1
46,92.0,262,5,16,0
47,94.0,244,10,17,0
48,96.0,272,16,31,0
49,98.0,263,11,16,0
50,100.0,259,9,15,0
51,102.0,240,10,17,1
52,104.0,242,5,20,0
53,106.0,257,13,24,0
54,108.0,247,13,17,0
55,110.0,247,19,16,1
56,112.0,264,16,25,0
57,114.0,250,10,28,0
58,116.0,267,18,29,2
59,118.0,249,10,25,0
60,120.0,235,15,14,1
61,122.0,198,11,17,0
62,124.0,294,15,19,0
63,126.0,258,12,18,1
64,128.0,292,24,20,1
65,130.0,259,12,25,0
66,132.0,265,13,23,0
67,134.0,267,13,21,0
68,136.0,265,14,11,0
69,138.0,275,14,22,1
70,140.0,266,19,30,1
71,142.0,254,18,18,0
72,144.0,249,16,25,0
73,146.0,253,16,13,1
74,148.0,239,12,18,0
75,150.0,257,9,13,0
76,152.0,240,11,22,0
77,154.0,265,12,23,0
78,156.0,266,11,22,0
79,158.0,210,11,26,0
80,160.0,262,17,25,1
81,162.0,278,18,23,0
82,164.0,295,12,20,1
83,166.0,230,13,16,0
84,168.0,257,8,15,0
85,170.0,266,17,20,0
86,172.0,259,12,22,0
87,174.0,258,12,22,1
88,176.0,276,19,24,0
89,178.0,250,17,26,1
90,180.0,269,20,27,3
91,182.0,206,11,12,0
92,184.0,265,9,23,0
93,186.0,285,18,22,1
94,188.0,262,19,20,0
95,190.0,279,14,27,0
96,192.0,270,10,30,1
97,194.0,258,18,22,1
98,196.0,261,12,19,0
99,198.0,277,17,26,1
100,200.0,254,23,18,0
101,202.0,248,20,15,0
102,204.0,267,19,19,0
103,206.0,254,13,26,3
104,208.0,277,14,20,0
105,210.0,256,8,24,0
106,212.0,276,20,12,0
107,214.0,253,13,26,0
108,216.0,276,23,21,0
109,218.0,298,18,22,0
110,220.0,276,19,25,0
111,222.0,283,20,29,1
112,224.0,276,13,24,0
113,226.0,232,13,19,0
114,228.0,247,13,18,1
115,230.0,276,12,16,0
116,232.0,260,13,19,1
117,234.0,238,16,22,1
118,236.0,272,19,14,0
119,238.0,344,30,28,0
120,240.0,250,10,17,0
121,242.0,216,16,22,0
122,244.0,237,12,16,0
123,246.0,242,15,19,0
124,248.0,276,14,16,1
125,250.0,252,19,26,0
126,252.0,258,16,23,0
127,254.0,280,17,18,1
128,256.0,246,17,18,2
129,258.0,272,9,26,0
130,260.0,237,5,21,0
131,262.0,235,11,18,0
132,264.0,283,16,25,3
133,266.0,245,11,15,2
134,268.0,251,9,16,0
135,270.0,261,16,21,0
136,272.0,264,15,21,1
137,274.0,263,27,27,2
138,276.0,258,16,18,0
139,278.0,295,16,22,1
140,280.0,268,15,22,2
141,282.0,245,11,24,0
142,284.0,256,17,24,1
143,286.0,262,15,15,0
144,288.0,264,14,23,0
145,290.0,267,16,19,1
146,292.0,301,22,25,1
147,294.0,254,17,18,0
148,296.0,262,14,26,0
149,298.0,270,13,25,0
150,300.0,266,12,24,0
151,302.0,214,18,15,1
152,304.0,255,11,17,1
153,306.0,262,15,17,0
154,308.0,297,10,20,2
155,310.0,271,13,23,0
156,312.0,260,14,23,0
157,314.0,265,16,22,0
158,316.0,252,10,12,0
159,318.0,292,24,23,1
160,320.0,249,10,17,0
161,322.0,283,8,18,0
162,324.0,235,12,14,1
163,326.0,254,19,24,2
164,328.0,260,16,21,3
165,330.0,272,12,24,0
166,332.0,309,13,24,0
167,334.0,277,19,25,2
168,336.0,262,15,19,2
169,338.0,245,10,18,0
170,340.0,232,12,16,0
171,342.0,248,15,19,0
172,344.0,226,12,20,1
173,346.0,256,12,26,3
174,348.0,243,10,22,1
175,350.0,269,12,19,0
176,352.0,270,11,35,2
177,354.0,256,16,20,3
178,356.0,264,16,19,0
179,358.0,241,15,23,0
180,360.0,245,13,18,1
181,362.0,203,11,15,0
182,364.0,257,13,18,1
183,366.0,243,7,13,0
184,368.0,255,13,27,0
185,370.0,263,13,17,0
186,372.0,230,13,17,1
187,374.0,269,13,30,1
188,376.0,283,14,20,1
189,378.0,269,16,21,1
190,380.0,236,18,27,2
191,382.0,249,17,23,0
192,384.0,232,13,22,0
193,386.0,259,13,23,0
194,388.0,242,8,14,0
195,390.0,265,13,29,0
196,392.0,267,14,25,1
197,394.0,254,14,19,0
198,396.0,274,14,28,1
199,398.0,253,11,20,0
200,400.0,240,18,18,1
201,402.0,286,21,26,0
202,404.0,274,24,28,2
203,406.0,305,16,31,0
204,408.0,237,7,20,0
205,410.0,278,15,23,1
206,412.0,262,19,23,0
207,414.0,241,7,21,1
208,416.0,269,16,21,1
209,418.0,275,19,20,0
210,420.0,284,6,20,0
211,422.0,214,11,13,1
212,424.0,215,10,14,0
213,426.0,277,8,22,0
214,428.0,246,10,16,0
215,430.0,271,11,21,0
216,432.0,249,14,22,0
217,434.0,247,11,15,0
218,436.0,265,15,24,1
219,438.0,260,10,16,0
220,440.0,279,14,25,0
221,442.0,253,12,24,1
222,444.0,251,10,19,0
223,446.0,256,18,14,1
224,448.0,262,13,26,1
225,450.0,258,17,20,0
226,452.0,277,22,23,1
227,454.0,270,15,25,2
228,456.0,265,10,23,1
229,458.0,268,11,22,1
230,460.0,260,10,22,2
231,462.0,272,14,21,0
232,464.0,279,11,26,0
233,466.0,247,15,14,0
234,468.0,243,14,18,0
235,470.0,255,8,25,1
236,472.0,267,15,25,1
237,474.0,263,19,22,1
238,476.0,244,13,12,1
239,478.0,251,21,17,0
240,480.0,267,9,24,1
241,482.0,220,11,13,0
242,484.0,234,17,20,1
243,486.0,281,15,22,2
244,488.0,239,12,18,0
245,490.0,238,9,19,1
246,492.0,241,11,18,0
247,494.0,260,13,26,0
248,496.0,266,19,19,0
249,498.0,242,10,23,1
250,500.0,254,11,18,0
251,502.0,254,16,21,1
252,504.0,260,11,13,0
253,506.0,230,12,16,1
254,508.0,251,12,19,0
255,510.0,263,23,14,0
256,512.0,247,16,24,1
257,514.0,278,14,26,1
258,516.0,298,16,24,1
259,518.0,250,11,29,0
260,520.0,252,17,13,0
261,522.0,250,12,21,1
262,524.0,250,9,25,0
263,526.0,240,13,23,0
264,528.0,261,13,18,0
265,530.0,257,14,22,0
