,time_histo_el_s,A0,B0,C0,D0
0,0.0,76051,103864,120188,323690
1,0.0,41783,56797,67848,177349
2,1.0,49568,66693,79225,209710
3,3.0,76798,104621,122929,326930
4,4.0,75772,103051,119220,321533
5,5.0,77642,104917,121182,326420
6,6.0,77103,104619,123275,325857
7,7.0,77413,105113,124187,327555
8,8.0,77035,104381,122460,324994
9,9.0,76870,104598,122910,326528
10,10.0,76638,103832,120940,324204
11,11.0,77070,104991,122708,329041
12,12.0,75592,102875,117520,321807
13,13.0,77132,105689,122260,328163
14,14.0,76306,103508,120461,324961
15,15.0,76205,104623,121426,326734
16,16.0,76473,103851,119134,323922
17,17.0,76817,104495,121556,328756
18,18.0,76377,103965,118287,323217
19,19.0,75843,103390,116717,320803
20,20.0,76354,104438,120275,328143
21,21.0,75682,102688,118258,324214
22,22.0,75259,103093,115423,322569
23,23.0,75539,103287,117798,325238
24,24.0,76475,104090,119295,329510
25,25.0,75672,102965,117815,325851
26,26.0,75757,103238,116414,325233
27,27.0,75555,102656,117687,324399
28,28.0,76707,102943,117586,325943
29,29.0,76264,103421,117858,325130
30,30.0,77044,104599,121187,328031
31,31.0,75249,102797,115069,320663
32,32.0,77026,104390,119962,329095
33,33.0,75861,103796,118716,324908
34,34.0,76200,104114,118814,325177
35,35.0,76728,103991,121011,326698
36,36.0,77830,105191,122344,329313
37,37.0,77210,104591,121738,325704
38,38.0,77186,104334,119013,323751
39,39.0,78120,106050,125308,333787
40,40.0,75985,102613,116736,321681
41,41.0,77140,104906,121621,328603
42,42.0,76003,103382,118531,324412
43,43.0,76498,104119,119731,326547
44,44.0,76588,103035,119271,326414
45,45.0,75895,102986,117674,324264
46,46.0,76264,103946,119420,328972
47,47.0,76119,103343,118012,326838
48,48.0,76394,103872,116727,327113
49,49.0,75268,102702,116174,323664
50,50.0,77032,104004,119820,328381
51,51.0,75309,102619,115467,320876
52,52.0,77229,105026,120507,331172
53,53.0,76393,102772,116076,322578
54,54.0,76883,104382,121589,328965
55,55.0,77060,104902,121646,329100
56,56.0,75278,103252,115741,322508
57,57.0,76596,104487,118763,327188
58,58.0,76215,103244,117929,325755
59,59.0,76395,104639,120403,330879
60,60.0,74997,102493,114015,321476
61,61.0,76702,104535,119383,330170
62,62.0,75632,103509,117710,323272
63,63.0,77013,104408,119429,329178
64,64.0,75897,103435,116092,321955
65,65.0,76702,104249,119815,328453
66,66.0,76341,104115,120081,327056
67,67.0,76356,103136,116814,323265
68,68.0,76527,103198,119058,326311
69,69.0,76369,103508,118017,325906
70,70.0,76662,104228,120651,328546
71,71.0,76604,103584,119136,324189
72,72.0,76988,104392,120039,326224
73,73.0,77124,105161,123164,327870
74,74.0,77550,104859,122514,326344
75,75.0,77686,104915,124721,325620
76,76.0,78318,106859,126791,328647
77,77.0,78396,105311,126238,328748
78,78.0,77650,104568,123060,325176
79,79.0,78065,105617,124177,326400
80,80.0,78061,105551,124637,328820
81,81.0,76893,104274,120076,323103
82,82.0,77686,105144,123990,328060
83,83.0,77330,105115,122698,327598
84,84.0,76853,104161,119472,325030
85,85.0,77123,104452,121305,327325
86,86.0,76932,104617,120589,326216
87,87.0,77013,104152,117492,326737
88,88.0,76510,104268,119580,327051
89,89.0,76263,103691,116818,325182
90,90.0,76320,103056,119286,326968
91,91.0,77273,104430,120541,331306
92,92.0,75081,102383,115111,321915
93,93.0,77459,104803,119690,330394
94,94.0,75870,103666,116742,326219
95,95.0,76694,104635,119724,330475
96,96.0,76102,103447,117503,326617
97,97.0,75754,103557,116813,326646
98,98.0,76607,104306,118406,328988
99,99.0,76443,103569,116312,325525
100,100.0,75862,102555,116941,326958
101,101.0,76387,104154,118546,328433
102,101.0,76074,103806,119934,328481
103,102.0,77224,104462,120805,329042
104,103.0,76658,104110,120069,326566
105,104.0,77056,104381,120774,328760
106,105.0,75352,102933,116967,321946
107,106.0,77239,105536,121387,329401
108,107.0,76569,104586,120311,327259
109,108.0,77117,104662,122280,329629
110,109.0,76298,103602,121606,327572
111,110.0,76569,104779,120716,328573
112,111.0,75844,102988,120031,323999
113,112.0,75994,104138,119247,325466
114,113.0,76459,104126,121564,326983
115,114.0,76831,104127,119529,325548
116,115.0,76815,104749,121695,327329
117,116.0,77241,105751,121850,329369
118,117.0,76647,105352,121896,329502
119,118.0,76785,104353,118062,327086
120,119.0,76018,103405,120107,327119
121,120.0,76730,105799,120759,332788
122,121.0,76306,103192,117486,327035
123,122.0,77441,104865,121378,332316
124,123.0,77065,104825,119535,330788
125,124.0,76168,103968,118625,327499
126,125.0,77392,105608,120971,331946
127,126.0,77842,105485,121678,330966
