,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,505123,357079,105682,283704,202245,61436,629226,630988,318831,832112,429602,27143
1,2.0,459854,324586,96569,258786,184506,56144,573319,574889,290300,759847,393103,24972
2,4.0,541838,381487,111920,304166,216055,65235,668959,670812,339665,901034,467188,30050
3,6.0,540595,378836,110914,303246,214637,64645,660902,662832,335274,906351,468744,29680
4,8.0,537693,376585,109455,301944,213997,64155,655852,657675,332453,904531,467838,29735
5,10.0,534073,373168,107426,297860,210364,62236,639465,641318,324610,903399,466709,29778
6,12.0,530256,368567,105285,296411,208279,61360,626513,628152,318427,903576,466520,29889
7,14.0,530438,369419,105217,296423,208398,61987,628719,630441,319456,904944,467125,29594
8,16.0,535903,374375,108597,300004,211671,63032,644756,646427,326993,903876,466205,29727
9,18.0,542285,380000,110507,304386,215301,64452,658355,660138,334923,909748,469787,29961
10,20.0,546399,382858,111881,306606,217221,65232,662526,664388,336678,915483,474370,30115
11,22.0,547198,382396,110662,306809,216513,64577,662380,664293,336189,922284,476512,30397
12,24.0,546986,381599,109743,306596,216499,64456,652924,654687,330991,923558,476308,30383
13,26.0,546255,382174,110823,305745,215796,64096,659932,661831,335084,916116,473192,30361
14,28.0,551536,388133,113920,308790,219492,66576,680226,682131,345062,911356,471345,30030
15,30.0,553538,390791,116126,309524,220776,67455,687968,689895,348830,907325,468961,29929
16,32.0,551216,389091,115286,308020,219678,67021,685254,686967,346857,906753,468182,29608
17,34.0,553448,390884,116307,310871,222420,67857,691307,693203,351271,905786,467452,29797
18,36.0,558329,395867,118372,312726,223970,68761,703341,705240,356452,907438,469413,29737
19,38.0,558270,395683,119007,313096,224171,69149,705850,707873,357936,905267,467381,29758
20,40.0,555034,393586,117683,311684,222901,68863,697905,699851,353561,906423,468280,29927
21,42.0,554210,392875,117318,311634,222847,68321,698018,699890,354306,905723,468763,29697
22,44.0,553505,392022,116348,309622,221151,67924,690065,692011,349713,906224,469210,29647
23,46.0,552253,389414,114874,309754,220711,67270,683121,684987,345765,909197,468913,29996
24,48.0,553994,390129,114950,310440,220693,66827,681737,683704,346181,916565,473800,30195
25,50.0,551413,387862,113570,308794,218733,65501,676187,678151,342673,920970,474837,30388
26,52.0,549252,384673,111283,306556,215952,64231,663265,665114,336853,925257,477855,30397
27,54.0,543718,378476,108485,304189,213639,63060,647496,649208,329093,926203,478334,30677
28,56.0,540468,375933,107192,302809,212344,62877,637691,639424,323729,924134,476947,30038
29,58.0,539774,375181,107164,301813,211296,62079,636311,638091,323144,921513,475958,30438
30,60.0,536645,374661,107358,301182,211565,62182,639879,641431,325174,914655,471628,29742
31,62.0,533367,371378,106620,299459,210535,62272,637946,639883,324266,909286,470417,30095
32,64.0,531609,371041,106937,298612,210715,62800,639446,641130,324941,901671,466744,30172
33,66.0,538447,377554,109999,302147,213742,64185,655575,657398,332957,899614,465626,29878
