,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,891,3,41,0
1,2.0,693,3,23,1
2,4.0,901,4,40,0
3,6.0,863,4,40,0
4,8.0,889,3,49,0
5,10.0,904,6,55,0
6,12.0,869,2,45,0
7,14.0,855,0,41,0
8,16.0,848,3,51,0
9,18.0,939,5,48,1
10,20.0,926,2,52,0
11,22.0,923,3,39,0
12,24.0,913,1,50,0
13,26.0,908,3,76,0
14,28.0,918,5,44,0
15,30.0,973,3,49,0
16,32.0,908,3,52,1
17,34.0,878,2,38,0
18,36.0,959,1,47,0
19,38.0,946,3,49,0
20,40.0,938,3,38,0
21,42.0,950,5,55,0
22,44.0,994,3,47,0
23,46.0,916,1,45,0
24,48.0,913,2,46,0
25,50.0,907,6,35,0
26,52.0,940,6,59,0
27,54.0,936,2,42,0
28,56.0,909,2,61,0
29,58.0,911,2,52,0
30,60.0,859,4,42,0
31,62.0,865,1,37,0
32,64.0,925,0,41,0
33,66.0,855,4,53,0
34,68.0,870,6,54,2
35,70.0,918,6,52,2
36,72.0,901,2,52,0
37,74.0,897,5,63,0
38,76.0,919,3,47,0
39,78.0,913,4,44,0
40,80.0,935,10,59,2
41,82.0,939,6,53,1
42,84.0,951,7,54,2
43,86.0,931,0,41,0
44,88.0,903,1,42,0
45,90.0,969,3,45,1
46,92.0,1008,3,53,0
47,94.0,949,3,44,0
48,96.0,935,4,53,0
49,98.0,931,2,60,0
50,100.0,950,3,50,0
51,102.0,930,2,64,0
52,104.0,891,4,51,0
53,106.0,860,6,45,0
54,108.0,911,8,45,0
55,110.0,931,2,53,0
56,112.0,897,3,53,1
57,114.0,913,2,48,0
58,116.0,869,0,49,0
59,118.0,871,0,44,0
60,120.0,840,1,35,0
61,122.0,810,5,46,0
62,124.0,825,2,39,0
63,126.0,910,3,50,0
64,128.0,841,2,48,0
65,130.0,859,2,54,0
66,132.0,854,1,56,0
67,134.0,877,0,42,0
68,136.0,852,3,45,0
69,138.0,916,4,63,0
70,140.0,863,3,59,0
71,142.0,890,4,53,0
72,144.0,846,3,45,0
73,146.0,889,0,51,0
74,148.0,909,3,44,0
75,150.0,908,1,52,0
76,152.0,898,2,55,0
77,154.0,866,4,52,0
78,156.0,910,3,53,0
79,158.0,912,4,45,0
80,160.0,911,4,50,0
81,162.0,950,2,54,0
82,164.0,936,2,45,0
83,166.0,973,2,50,0
84,168.0,987,3,49,0
85,170.0,967,4,54,0
86,172.0,930,7,48,0
87,174.0,887,10,54,0
88,176.0,988,4,49,0
89,178.0,928,3,48,0
90,180.0,824,4,37,0
91,182.0,907,1,44,0
92,184.0,903,5,56,0
93,186.0,917,4,39,1
94,188.0,961,2,56,0
95,190.0,929,4,57,0
96,192.0,974,4,50,2
97,194.0,940,5,51,0
98,196.0,992,1,55,0
99,198.0,962,3,55,0
100,200.0,997,3,63,0
101,202.0,1034,6,67,0
102,204.0,958,1,43,0
103,206.0,904,2,51,0
104,208.0,924,3,50,0
105,210.0,904,5,47,0
106,212.0,869,1,53,0
107,214.0,814,3,45,1
108,216.0,856,4,49,0
109,218.0,840,0,58,0
110,220.0,905,2,57,0
111,222.0,844,3,53,0
112,224.0,836,1,43,0
113,226.0,813,2,50,0
114,228.0,867,6,39,0
115,230.0,924,2,43,0
116,232.0,852,1,51,0
117,234.0,917,6,42,0
118,236.0,866,3,60,1
119,238.0,889,2,57,0
120,240.0,957,1,48,0
121,242.0,930,5,47,0
122,244.0,899,4,42,0
123,246.0,908,1,45,0
124,248.0,901,2,50,0
125,250.0,887,6,40,0
126,252.0,918,1,53,0
127,254.0,911,1,50,0
128,256.0,896,1,47,0
129,258.0,891,2,54,0
130,260.0,910,5,37,0
131,262.0,879,1,56,0
132,264.0,910,1,59,0
133,266.0,901,3,50,0
