,time_histo_el_s,ch0
0,0.0,205
1,2.0,119
2,4.0,165
3,6.0,172
4,8.0,196
5,10.0,203
6,12.0,219
7,14.0,177
8,16.0,204
9,18.0,187
10,20.0,204
11,22.0,197
12,24.0,210
13,26.0,186
14,28.0,218
15,30.0,193
16,32.0,189
17,34.0,220
18,36.0,200
19,38.0,192
20,40.0,182
21,42.0,182
22,44.0,211
23,46.0,210
24,48.0,189
25,50.0,186
26,52.0,210
27,54.0,168
28,56.0,208
29,58.0,174
30,60.0,183
31,62.0,184
32,64.0,179
33,66.0,189
34,68.0,238
35,70.0,202
36,72.0,201
37,74.0,219
38,76.0,206
39,78.0,195
40,80.0,177
41,82.0,202
42,84.0,207
43,86.0,200
44,88.0,187
45,90.0,208
46,92.0,185
47,94.0,190
48,96.0,201
49,98.0,199
50,100.0,207
51,102.0,203
52,104.0,204
53,106.0,198
54,108.0,171
55,110.0,195
56,112.0,193
57,114.0,172
58,116.0,197
59,118.0,198
60,120.0,180
61,122.0,158
62,124.0,179
63,126.0,171
64,128.0,183
65,130.0,206
66,132.0,216
67,134.0,192
68,136.0,198
69,138.0,166
70,140.0,184
71,142.0,199
72,144.0,189
73,146.0,213
74,148.0,174
75,150.0,192
76,152.0,184
77,154.0,198
78,156.0,198
79,158.0,213
80,160.0,173
81,162.0,210
82,164.0,209
83,166.0,217
84,168.0,201
85,170.0,185
86,172.0,179
87,174.0,198
88,176.0,190
89,178.0,197
90,180.0,181
91,182.0,184
92,184.0,193
93,186.0,193
94,188.0,211
95,190.0,184
96,192.0,182
97,194.0,186
98,196.0,209
99,198.0,209
100,200.0,177
101,202.0,201
102,204.0,204
103,206.0,175
104,208.0,168
105,210.0,198
106,212.0,179
107,214.0,175
108,216.0,214
109,218.0,179
110,220.0,157
111,222.0,190
112,224.0,200
113,226.0,208
114,228.0,198
115,230.0,177
116,232.0,202
117,234.0,193
118,236.0,183
119,238.0,174
120,240.0,205
121,242.0,170
122,244.0,210
123,246.0,225
124,248.0,172
125,250.0,185
126,252.0,196
127,254.0,192
128,256.0,185
129,258.0,186
130,260.0,179
131,262.0,180
132,264.0,186
133,266.0,178
134,268.0,180
135,270.0,174
136,272.0,175
137,274.0,171
138,276.0,186
139,278.0,175
140,280.0,182
141,282.0,183
142,284.0,178
143,286.0,187
144,288.0,182
145,290.0,211
146,292.0,206
147,294.0,184
148,296.0,206
149,298.0,199
150,300.0,172
151,302.0,174
152,304.0,204
153,306.0,170
154,308.0,169
155,310.0,182
156,312.0,179
157,314.0,184
158,316.0,199
159,318.0,195
160,320.0,163
161,322.0,196
162,324.0,199
163,326.0,171
164,328.0,175
165,330.0,189
166,332.0,185
167,334.0,188
168,336.0,172
169,338.0,191
170,340.0,208
171,342.0,192
172,344.0,165
173,346.0,208
174,348.0,180
175,350.0,196
176,352.0,188
177,354.0,219
178,356.0,177
179,358.0,187
180,360.0,192
181,362.0,156
182,364.0,194
183,366.0,183
184,368.0,180
185,370.0,170
186,372.0,187
187,374.0,195
188,376.0,181
189,378.0,158
190,380.0,171
191,382.0,164
192,384.0,194
193,386.0,166
194,388.0,194
195,390.0,193
196,392.0,171
197,394.0,151
198,396.0,203
199,398.0,168
200,400.0,183
201,402.0,172
202,404.0,188
203,406.0,151
204,408.0,142
205,410.0,146
206,412.0,174
207,414.0,164
208,416.0,150
209,418.0,151
210,420.0,153
211,422.0,182
212,424.0,165
213,426.0,171
214,428.0,155
215,430.0,169
216,432.0,178
217,434.0,163
218,436.0,177
219,438.0,170
220,440.0,138
221,442.0,196
222,444.0,173
223,446.0,174
224,448.0,156
225,450.0,200
226,452.0,198
227,454.0,204
228,456.0,169
229,458.0,211
230,460.0,194
231,462.0,160
232,464.0,183
233,466.0,146
234,468.0,179
235,470.0,162
236,472.0,192
237,474.0,157
238,476.0,169
239,478.0,172
240,480.0,177
241,482.0,152
242,484.0,144
243,486.0,162
244,488.0,178
245,490.0,178
246,492.0,172
247,494.0,163
248,496.0,167
249,498.0,164
250,500.0,179
251,502.0,152
252,504.0,152
253,506.0,177
254,508.0,156
255,510.0,191
256,512.0,169
257,514.0,154
258,516.0,163
259,518.0,181
260,520.0,176
261,522.0,175
262,524.0,161
263,526.0,143
264,528.0,159
265,530.0,174
266,532.0,182
267,534.0,174
268,536.0,149
269,538.0,150
270,540.0,181
271,542.0,189
272,544.0,164
273,546.0,189
274,548.0,156
275,550.0,154
276,552.0,158
277,554.0,179
278,556.0,157
279,558.0,186
280,560.0,162
281,562.0,197
282,564.0,162
283,566.0,184
284,568.0,155
285,570.0,195
286,572.0,173
287,574.0,173
288,576.0,163
289,578.0,159
