,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,468771,49086,3076,714233,501230,3447,796439,219876,3774,643019,3593,3136
1,2.0,469703,48848,2975,718054,503765,3460,801915,222157,3856,643736,3483,3104
2,4.0,469854,49386,2987,719470,504808,3473,802061,221573,3863,644803,3460,2995
3,6.0,470711,49328,2969,719267,505112,3412,803031,221855,3895,646440,3630,3057
4,8.0,473521,49258,3016,724522,508126,3454,808049,222180,3804,647817,3526,3085
5,10.0,472962,49087,2962,724431,509047,3485,806140,222735,3917,646639,3638,3143
6,12.0,471269,49460,3094,721178,505941,3506,805297,222181,3867,644962,3558,2994
7,14.0,471170,49302,2970,724169,507681,3558,806546,222405,3925,643248,3674,3073
8,16.0,473909,49195,2925,728448,511496,3513,807903,222971,3905,646219,3626,3170
9,18.0,475988,49496,3011,735787,516697,3680,813008,223769,3901,646267,3563,3029
10,20.0,476988,49574,2988,739502,519169,3537,814077,223261,3826,646782,3556,3134
11,22.0,476992,49445,3024,733118,514804,3460,810591,223358,4011,648752,3603,2993
12,24.0,474634,49373,2948,728877,511795,3466,808125,221851,3900,649027,3651,3119
13,26.0,473924,48853,2939,721833,507195,3505,806563,222280,3878,650949,3523,3054
14,28.0,473061,49115,2993,721706,506853,3493,805824,221723,3850,651081,3634,2985
15,30.0,473255,48925,2994,718712,504179,3613,802369,220399,3891,650997,3545,3073
16,32.0,472706,49076,3082,717672,504094,3518,804124,221068,3861,651537,3629,3110
17,34.0,474177,49308,3095,721453,506186,3558,808336,222485,3813,651824,3574,3047
18,36.0,473076,49275,2916,723877,508423,3572,808098,222190,3755,650112,3623,3030
19,38.0,474073,48933,3043,724522,508896,3521,807578,222113,3857,651776,3622,3082
20,40.0,472683,49089,2985,719419,505208,3466,804267,221393,3898,649806,3582,3032
21,42.0,471538,49147,2992,717887,503030,3573,804175,220625,3899,648411,3694,3098
22,44.0,472645,48633,3032,716539,502422,3479,801153,220197,3902,649044,3615,3128
23,46.0,470488,48679,2992,711196,498911,3437,798478,220295,3793,651946,3635,3052
24,48.0,468325,48932,3061,709466,497725,3440,796299,218911,3881,650924,3585,3018
25,50.0,469368,48954,3088,709476,497429,3458,798512,220027,3850,650391,3535,3082
26,52.0,468709,48915,3039,710928,499172,3462,798509,220305,3850,651120,3641,3135
27,54.0,470274,48975,3094,712904,500727,3573,798942,220959,3834,648668,3519,3112
28,56.0,471315,49333,3009,715068,502455,3592,800204,220008,3810,649289,3541,3108
29,58.0,469138,48594,2986,712939,501040,3612,797920,219517,3952,648684,3712,3143
30,60.0,467777,49113,3053,708096,496308,3498,796178,219629,3882,647243,3454,2970
31,62.0,466374,48538,2946,702872,493041,3439,793433,218697,3878,647701,3738,3210
32,64.0,464438,48547,3045,700773,491867,3507,791350,218485,3801,646820,3617,3042
33,66.0,466731,48912,2973,705454,495388,3430,792421,219386,3832,644841,3629,3093
34,68.0,466402,48465,3071,703618,494200,3532,791649,218391,3726,646434,3595,3136
35,70.0,465152,48477,3158,703761,494171,3427,791139,217961,3837,645383,3669,3062
36,72.0,463910,48796,2986,702955,494058,3453,791357,218699,3873,643223,3456,2995
37,74.0,463546,48607,2990,706339,495579,3613,791169,219565,3762,643868,3563,3145
38,76.0,464247,48523,2995,704611,494201,3534,790111,218870,3830,642959,3619,3122
39,78.0,464797,48585,3019,708419,496906,3523,791389,218378,3689,641254,3672,3111
40,80.0,467070,48731,3032,713933,500699,3475,795943,220067,3836,644146,3650,3161
41,82.0,468839,48765,3022,716509,502954,3495,796568,219626,3936,644437,3616,3184
42,84.0,470263,48960,3037,720886,505860,3455,797828,220584,3857,643315,3577,3070
43,86.0,471134,49671,3075,717670,504142,3539,797818,220474,3810,645314,3593,3075
44,88.0,470639,48920,3154,715276,501615,3517,797598,220338,3794,647427,3610,3102
45,90.0,470403,48843,2916,710255,497922,3474,796063,219518,3797,648775,3665,3060
46,92.0,470182,48810,3013,708889,497370,3595,796593,219688,3813,649292,3537,2970
47,94.0,471128,48866,3004,709947,497970,3591,795732,218822,3725,650025,3622,3147
48,96.0,471215,48809,3030,708614,497121,3494,797669,218943,3869,654149,3594,3080
49,98.0,470166,48771,2984,704322,493484,3541,795749,219523,3970,655344,3554,3071
50,100.0,471383,48520,3008,705803,494992,3545,799067,219813,3863,656730,3599,3066
51,102.0,471583,48960,3044,706840,496201,3414,798844,219849,3875,656549,3610,3129
52,104.0,472719,48954,3026,713276,501182,3422,803294,221201,3795,653969,3638,3079
53,106.0,475536,49784,3080,719793,505551,3448,805349,221460,3883,654568,3678,3107
54,108.0,474832,49170,3093,722297,506907,3445,807778,222883,3814,653572,3653,3073
55,110.0,475366,49898,3079,722012,506984,3644,806020,222918,3989,651800,3721,3160
56,112.0,475871,49835,3019,721933,506390,3488,806185,222848,3877,650558,3670,3143
57,114.0,475900,49630,2936,725568,508491,3509,807235,222865,3881,650887,3594,3168
58,116.0,476096,49812,2979,725498,509671,3471,806751,222962,3851,649290,3605,3061
59,118.0,477561,49614,2881,727710,510484,3539,807336,223010,3841,649634,3708,3165
60,120.0,476258,49764,3018,725313,509131,3600,806691,223095,3811,649807,3536,3073
61,122.0,474472,49840,2959,718248,504388,3384,802985,221761,3922,650991,3521,3030
62,124.0,472704,49449,3018,714120,500048,3491,798576,220637,3928,651137,3640,3078
63,126.0,471167,49465,3070,709655,498545,3462,797223,221120,3847,650048,3607,3174
64,128.0,471479,49435,3018,709452,498266,3488,798155,220111,3849,651579,3716,3209
65,130.0,470167,49108,3026,708306,497416,3597,796226,220179,3774,650928,3744,3155
