,time_histo_el_s,A0,A1,A2,B0,B1,B2,C0,C1,C2,D0,D1,D2
0,0.0,415115,44721,3099,633607,446021,3374,738625,208433,3850,620638,3642,3148
1,2.0,415803,44467,2957,632405,444995,3405,740172,209140,3781,621113,3532,3102
2,4.0,414439,44501,2897,635321,447085,3418,739826,207772,3781,621126,3515,3081
3,6.0,419768,44797,2933,647000,455724,3525,747089,210493,3794,620823,3585,3106
4,8.0,423230,45441,2989,658240,462608,3394,755773,213034,3858,621393,3598,3117
5,10.0,423856,45048,2954,660075,464080,3505,757966,212927,3844,622035,3672,3095
6,12.0,421435,45345,2942,651430,458411,3468,751466,211064,3864,620994,3492,3038
7,14.0,419815,44923,3008,647908,455235,3495,747237,211241,3741,619165,3498,3056
8,16.0,421487,44769,2967,651903,458607,3496,752240,212366,3895,618852,3563,3030
9,18.0,424918,45629,3001,663103,466712,3461,757466,212808,3808,617799,3576,3099
10,20.0,426062,45587,2944,669995,471239,3416,761152,214097,3823,618353,3425,2989
11,22.0,425049,45610,2989,665191,467431,3442,759287,213621,3711,620456,3519,2902
12,24.0,421337,44574,2970,652761,459486,3500,750233,210583,3857,619770,3482,3118
13,26.0,416762,44771,2974,641979,452135,3454,745236,209258,3846,620226,3545,3048
14,28.0,416585,44546,2954,635912,447729,3488,739438,207221,3737,620481,3444,2994
15,30.0,414709,44258,2894,630293,443429,3487,736577,207003,3727,620306,3527,3004
16,32.0,414201,44423,3000,627200,441370,3454,735579,206448,3730,620276,3552,3095
17,34.0,413059,44396,2871,624792,439841,3459,734611,206109,3731,620969,3461,3090
18,36.0,412047,44444,2982,621642,437099,3352,731805,205938,3819,619753,3636,3104
19,38.0,412600,44006,3012,625721,439976,3372,735085,207011,3748,621546,3605,3131
20,40.0,413435,44508,2989,624604,439870,3483,732823,206455,3812,621010,3595,3112
21,42.0,412394,44493,2936,620511,436814,3430,732038,206382,3775,622179,3580,3103
22,44.0,413013,44246,2998,622848,437859,3408,731948,205935,3754,620911,3512,3075
23,46.0,412469,44010,2979,619748,436481,3377,731433,205851,3773,621909,3613,3036
24,48.0,411512,44322,2917,622185,437654,3497,732379,206442,3759,623181,3605,3081
25,50.0,412966,44338,2992,621231,436374,3430,729847,205650,3841,620870,3464,3111
26,52.0,411862,44095,2904,619825,435999,3398,727519,205385,3792,621530,3551,3006
27,54.0,410910,44257,2935,618471,434879,3448,727531,205571,3778,620072,3615,3064
28,56.0,410413,44104,3025,617672,434253,3506,726869,205012,3778,620160,3612,3094
29,58.0,409563,43849,2974,616347,433704,3490,723408,204167,3809,619822,3539,3014
30,60.0,409678,44079,3047,617243,434820,3475,727088,204513,3779,621052,3519,2999
31,62.0,410765,44183,3011,618156,435159,3442,727675,204879,3757,620275,3661,3055
32,64.0,411624,44596,2970,620987,437130,3466,729255,205779,3797,619376,3477,3073
33,66.0,412123,44428,2993,623912,439372,3439,731306,205682,3670,620030,3634,3019
34,68.0,412231,44461,3082,625074,439398,3444,732353,206571,3727,617953,3557,3033
35,70.0,411857,44300,2941,623259,438693,3499,731266,206036,3698,618313,3548,3030
36,72.0,411851,44144,2974,624007,438874,3500,732106,206336,3768,617553,3564,3054
37,74.0,412453,44117,2989,624591,439848,3393,733362,207537,3784,619022,3628,3122
38,76.0,414497,44768,3008,629237,443262,3364,735632,206871,3816,617941,3603,3104
39,78.0,414795,44668,2967,635060,447183,3414,739617,209091,3925,618181,3614,3117
40,80.0,414250,44581,2978,633503,446325,3423,739866,208349,3704,617190,3552,3097
41,82.0,413097,44845,2871,628752,442833,3446,738162,207869,3781,616322,3638,3114
42,84.0,412746,44485,2929,627308,441388,3384,737765,208172,3835,616506,3491,3057
43,86.0,413578,44705,2899,629914,443279,3408,738963,207917,3848,619980,3531,3109
44,88.0,415416,44795,2971,631925,444626,3529,740214,209656,3916,618743,3597,3035
45,90.0,415712,45030,2916,634356,446439,3471,742449,209202,3849,620630,3613,3110
46,92.0,413976,44430,2926,631566,443643,3378,739634,208173,3797,619381,3507,2988
47,94.0,413558,44312,2911,628521,441987,3335,736289,206699,3878,619915,3583,3097
48,96.0,413692,44418,2873,629041,442321,3386,737135,208317,3945,619191,3506,3018
49,99.0,413600,44362,2978,628825,442641,3439,735700,207091,3820,619416,3494,2941
50,100.0,415117,44355,2906,631584,444167,3514,737081,207611,3783,619936,3542,3050
