,time_histo_el_s,A0,B0,C0,D0
0,0.0,67007,89149,122071,245572
1,1.0,66910,89253,121337,245751
2,2.0,66477,88577,122698,246734
3,3.0,65758,87855,117433,241490
4,4.0,66980,89173,123280,247508
5,5.0,66746,89082,121821,245061
6,6.0,67414,89933,125688,248697
7,7.0,66731,88841,122843,244875
8,8.0,67349,90148,126221,248326
9,9.0,66685,88506,121356,244014
10,10.0,66368,88481,123355,244876
11,11.0,67318,89379,124492,247507
12,12.0,66134,88700,123812,245621
13,13.0,67146,89445,123220,246487
14,14.0,66690,88768,122620,245296
15,15.0,66954,89426,124163,247489
16,16.0,66805,89552,123346,247850
17,17.0,66411,87878,122099,244988
18,18.0,66254,89178,122967,247770
19,19.0,66867,89199,122881,247632
20,20.0,66683,87822,119437,243872
21,21.0,67015,89675,123753,248831
22,22.0,66347,88932,123080,247227
23,23.0,66201,87874,120214,247078
24,24.0,66475,88471,120406,246063
25,25.0,66704,88490,121551,247283
26,26.0,67097,89150,123054,250348
27,27.0,65721,88167,120050,243743
28,28.0,66535,89524,122615,246846
29,29.0,66560,88486,122398,246272
30,30.0,66064,88801,122739,245374
31,31.0,67134,89221,126088,248111
32,32.0,65740,88145,121363,243474
33,33.0,67000,88609,124162,245609
34,34.0,67583,89117,125096,246698
35,35.0,66201,89096,124221,245389
36,36.0,66883,89283,124333,246051
37,37.0,66383,88308,123867,243697
38,38.0,67739,90357,128198,247816
39,39.0,67009,88643,124368,243742
40,40.0,66954,88997,125761,245021
41,41.0,67466,89741,126422,244590
42,42.0,66831,89855,128068,245843
43,43.0,66896,89228,125753,244994
44,44.0,66121,87995,123214,241598
45,45.0,67833,89588,128159,246411
46,46.0,67013,88270,124036,243862
47,47.0,66885,89201,124543,243878
48,48.0,67312,89211,126091,244884
49,49.0,67506,89443,128218,245820
50,50.0,67809,90299,129993,247385
51,51.0,67668,89167,127986,243084
52,52.0,67266,89391,129137,243528
53,53.0,68134,90510,130253,245594
54,54.0,68064,90071,131166,245862
55,55.0,67773,89349,128530,244241
56,56.0,68427,90813,131886,246477
57,57.0,68332,91352,133070,248363
58,58.0,67954,89754,129416,243586
59,59.0,67767,89885,130067,244773
60,60.0,67707,90312,129844,247043
61,61.0,67779,89577,131972,248410
62,62.0,67202,88641,127961,244189
63,63.0,67257,89385,128645,246594
64,64.0,67074,89779,128211,246250
65,65.0,66853,89100,128501,246281
66,66.0,67024,89292,128532,247866
67,67.0,66464,88954,126844,245337
68,68.0,67177,89218,128407,248345
69,69.0,66658,89201,126754,247530
70,70.0,66514,88469,124805,245465
71,71.0,67555,89379,127125,247449
72,72.0,67222,89223,127380,247313
73,73.0,66815,89181,126377,247372
74,74.0,66957,88448,126302,246731
75,75.0,66501,88956,125504,247206
76,76.0,66952,89337,128233,249911
77,77.0,65848,87885,122580,242913
78,78.0,67150,89435,127139,247728
79,79.0,67374,89252,128553,248217
80,80.0,67681,90548,130886,249628
81,81.0,66935,88640,127726,245992
82,82.0,66755,89639,128258,246389
83,83.0,68080,90395,130356,249169
84,84.0,66638,88361,127856,243965
85,85.0,68102,90785,132620,250786
86,86.0,66857,87647,125540,243684
87,87.0,67035,89741,129337,247806
88,88.0,67046,89124,128525,246868
89,89.0,66968,88524,124320,243368
90,90.0,67333,89305,128505,249047
91,91.0,66462,88436,126315,245743
92,92.0,67064,88810,127036,246462
93,93.0,66282,88892,127727,246209
94,94.0,66563,89335,126590,247388
95,95.0,66545,88365,126324,247037
96,96.0,66863,89533,128428,249301
97,97.0,66848,88196,124595,244534
98,98.0,66748,88485,126793,246754
99,99.0,66458,88310,122153,242225
100,100.0,67043,87976,127680,247060
101,101.0,66301,88289,123841,244616
102,102.0,67493,89217,129428,246664
