,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,59,6,3,0
1,1.0,69,1,3,0
2,2.0,61,2,1,0
3,3.0,59,5,4,1
4,4.0,63,5,2,0
5,5.0,60,4,1,0
6,6.0,75,1,3,0
7,7.0,65,2,1,0
8,8.0,51,2,1,0
9,9.0,81,7,2,0
10,10.0,64,1,3,0
11,11.0,64,1,0,0
12,12.0,72,0,4,0
13,13.0,66,4,3,0
14,14.0,52,2,0,0
15,15.0,53,2,1,0
16,16.0,65,2,1,0
17,17.0,70,4,1,0
18,18.0,58,0,6,0
19,19.0,44,3,0,0
20,20.0,63,3,4,0
21,21.0,56,1,1,0
22,22.0,60,6,3,0
23,23.0,60,1,0,0
24,24.0,71,1,0,0
25,25.0,59,3,1,0
26,26.0,63,0,4,0
27,27.0,64,3,1,0
28,28.0,68,4,3,0
29,29.0,68,5,3,0
30,30.0,58,6,3,1
31,31.0,68,4,4,0
32,32.0,57,3,3,0
33,33.0,66,3,3,0
34,34.0,59,4,1,1
35,35.0,64,1,3,0
36,36.0,64,6,1,0
37,37.0,65,2,3,0
38,38.0,65,2,5,0
39,39.0,63,6,3,0
40,40.0,58,2,7,0
41,41.0,53,2,1,0
42,42.0,74,4,1,0
43,43.0,66,4,3,0
44,44.0,62,2,4,0
45,45.0,60,5,5,1
46,46.0,67,4,2,0
47,47.0,74,4,1,0
48,48.0,59,4,3,0
49,49.0,60,2,4,0
50,50.0,68,3,2,0
51,51.0,60,3,4,0
52,52.0,67,1,0,0
53,53.0,72,1,5,0
54,54.0,70,3,2,1
55,55.0,67,1,4,0
56,56.0,77,3,1,0
57,57.0,69,5,4,0
58,59.0,65,2,3,0
59,60.0,60,3,4,0
60,61.0,73,2,2,0
61,62.0,50,4,1,0
62,63.0,68,2,1,0
63,64.0,55,3,2,0
64,65.0,53,3,0,0
65,66.0,54,2,1,0
66,67.0,57,3,4,0
67,68.0,65,3,2,0
68,69.0,55,2,3,0
69,70.0,64,3,5,0
70,71.0,70,7,3,0
71,72.0,66,1,2,0
72,73.0,56,3,1,1
73,74.0,62,2,1,0
74,75.0,71,5,2,0
75,76.0,54,4,3,0
76,77.0,71,0,0,0
77,78.0,73,5,1,1
78,79.0,64,3,3,0
79,80.0,54,5,1,0
80,81.0,53,1,2,0
81,82.0,62,1,3,0
82,83.0,76,6,4,0
83,84.0,71,2,2,0
84,85.0,68,1,1,0
85,86.0,54,2,0,0
86,87.0,64,3,3,0
87,88.0,49,4,2,0
88,89.0,58,1,0,0
89,90.0,72,7,4,0
90,91.0,63,1,3,0
91,92.0,62,5,3,0
92,93.0,77,2,2,0
93,94.0,65,1,2,0
94,95.0,66,2,4,1
95,96.0,62,2,3,0
96,97.0,62,2,4,0
97,98.0,60,5,2,0
98,99.0,72,2,1,0
99,100.0,60,7,3,0
100,101.0,60,1,3,0
101,102.0,67,3,0,0
102,103.0,73,3,4,0
103,104.0,75,3,3,0
104,105.0,81,5,5,0
105,106.0,65,2,1,0
106,107.0,60,4,2,0
107,108.0,62,2,1,0
108,109.0,60,0,1,0
109,110.0,58,3,1,0
110,111.0,67,4,2,0
111,112.0,62,5,2,0
112,113.0,73,1,2,0
113,114.0,64,4,1,0
114,115.0,49,2,2,0
115,116.0,65,3,3,0
116,117.0,50,3,2,0
117,118.0,61,4,3,0
118,119.0,53,2,2,0
119,120.0,78,1,2,0
120,121.0,51,2,1,0
121,122.0,73,3,2,0
122,123.0,44,1,2,0
123,124.0,73,4,6,0
124,125.0,59,3,5,0
125,126.0,75,4,1,0
126,127.0,69,3,1,0
127,128.0,45,1,0,0
128,129.0,74,6,6,0
129,130.0,38,4,1,0
130,131.0,92,2,1,0
131,132.0,55,6,5,2
