,time_histo_el_s,A0,B0,C0,D0
0,0.0,59090,39675,1451,1971
1,2.0,58176,38857,1504,1908
2,4.0,58976,38732,1548,2103
3,6.0,58196,39048,1546,2007
4,8.0,58239,38718,1557,1983
5,10.0,57902,38364,1486,2078
6,12.0,58140,38399,1503,2091
7,14.0,58114,39034,1545,2136
8,16.0,58004,38405,1593,2109
9,18.0,57319,38208,1454,2190
10,20.0,57257,38304,1487,2169
11,22.0,56788,37673,1512,2193
12,24.0,56106,37602,1596,2078
13,26.0,55765,37318,1468,2244
14,28.0,55977,37340,1600,2158
15,30.0,56038,37530,1526,2160
16,32.0,55893,37105,1575,2168
17,34.0,56094,37401,1503,2093
18,36.0,55758,37174,1556,2015
19,38.0,55841,37392,1523,2093
20,40.0,55679,37081,1493,2056
21,42.0,55885,37294,1529,2094
22,44.0,55863,37550,1517,2054
23,46.0,55897,37302,1543,2106
24,48.0,55818,37193,1515,2066
25,50.0,56449,37753,1484,2104
26,52.0,56854,37977,1537,2087
27,54.0,56762,37641,1511,2001
28,56.0,56444,37608,1477,2029
29,58.0,56403,38061,1531,2036
30,60.0,58003,38274,1424,1939
31,62.0,57595,38316,1477,2000
32,64.0,57767,38104,1544,2009
33,66.0,57821,38762,1423,2013
34,68.0,58341,38874,1466,1960
35,70.0,58691,39248,1478,2016
36,72.0,58722,39650,1457,1974
37,74.0,58844,39331,1458,1916
38,76.0,58675,38922,1430,1998
39,78.0,58258,38449,1448,1869
40,80.0,58564,38374,1524,2033
41,82.0,58434,39208,1478,2019
42,84.0,58578,38688,1439,1970
43,86.0,57931,38584,1531,2041
44,88.0,58054,38426,1504,2008
45,90.0,58007,38356,1518,2015
46,92.0,57904,38843,1460,1982
47,94.0,58592,38983,1524,2064
48,96.0,58826,39217,1446,2015
49,98.0,58994,39629,1470,2048
50,100.0,59689,39690,1487,1973
51,102.0,59477,39279,1458,1990
52,104.0,58872,39234,1480,1927
53,106.0,58871,39252,1539,1997
54,108.0,57946,39124,1455,1938
55,110.0,58266,39001,1464,2024
56,112.0,58175,38748,1467,1991
57,114.0,58368,39028,1531,2113
58,116.0,58277,38381,1559,2093
59,118.0,57661,38460,1512,1996
60,120.0,57840,38336,1540,1963
61,122.0,57980,38982,1529,2104
62,124.0,58101,38825,1538,2023
63,126.0,58377,39211,1562,2007
64,128.0,58766,39030,1480,1952
65,130.0,59017,39167,1424,1923
66,132.0,58999,39132,1490,1954
67,134.0,58882,38977,1475,1978
68,136.0,58584,38929,1377,1919
69,138.0,58824,38844,1473,1943
70,140.0,58853,39155,1401,1799
71,142.0,58447,39176,1402,1741
72,144.0,58428,38764,1443,1871
