,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,1187,58,40,33
1,2.0,1079,73,35,25
2,4.0,1132,60,24,24
3,6.0,1130,60,41,34
4,8.0,1079,62,29,39
5,10.0,1134,61,27,31
6,12.0,1121,56,34,22
7,14.0,1113,65,17,31
8,16.0,1116,61,36,39
9,18.0,1090,62,33,35
10,20.0,1127,69,27,36
11,22.0,1007,56,25,39
12,24.0,1077,61,29,32
13,26.0,986,63,23,35
14,28.0,1055,64,20,26
15,30.0,1045,59,26,42
16,32.0,1047,55,27,26
17,34.0,1123,57,29,34
18,36.0,1044,58,25,27
19,38.0,1030,57,18,28
20,40.0,1024,56,20,25
21,42.0,1021,63,30,22
22,44.0,1016,60,24,29
23,46.0,1084,46,27,38
24,48.0,1041,46,30,24
25,50.0,1072,75,34,34
26,52.0,1086,58,19,39
27,54.0,1057,49,21,27
28,56.0,1085,54,37,40
29,58.0,1089,62,22,36
30,60.0,1115,66,39,30
31,62.0,1171,64,25,36
32,64.0,1048,63,32,33
33,66.0,1114,49,28,24
34,68.0,1150,55,22,25
35,70.0,1215,66,26,31
36,72.0,1155,62,21,25
37,74.0,1173,64,39,27
38,76.0,1112,63,30,34
39,78.0,1078,44,25,31
40,80.0,1075,59,28,32
41,82.0,1159,56,35,36
42,84.0,1078,51,28,32
43,86.0,1137,50,33,34
44,88.0,1140,71,29,27
45,90.0,1119,64,23,34
46,92.0,1189,48,25,35
47,94.0,1148,54,29,32
48,96.0,1181,71,24,31
49,98.0,1145,49,35,33
50,100.0,1156,53,27,25
51,102.0,1159,50,31,33
52,104.0,1154,63,26,42
53,106.0,1145,57,32,34
54,108.0,1151,55,37,33
55,110.0,1109,62,31,38
56,112.0,1144,54,25,25
57,114.0,1170,47,31,32
58,116.0,1168,64,33,36
59,118.0,1088,68,33,38
60,120.0,1217,72,25,23
61,122.0,1073,56,32,35
62,124.0,1148,55,22,33
63,126.0,1158,61,25,33
64,128.0,1147,54,32,27
65,130.0,1200,54,27,33
66,132.0,1182,55,25,28
67,134.0,1214,58,34,37
68,136.0,1185,60,29,33
69,138.0,1122,67,23,32
70,140.0,1176,56,20,29
71,142.0,1162,53,27,28
72,144.0,1090,62,23,18
73,146.0,1106,51,32,22
74,148.0,1097,55,31,28
75,150.0,1116,51,28,30
76,152.0,1141,58,23,20
77,154.0,1116,55,30,23
78,156.0,1141,49,27,28
79,158.0,1228,47,29,29
80,160.0,1163,52,28,26
81,162.0,1227,57,24,28
82,164.0,1243,49,35,32
83,166.0,1282,61,33,27
84,168.0,1147,46,28,34
85,170.0,1125,65,28,27
86,172.0,1117,63,23,29
87,174.0,1122,65,20,32
88,176.0,1141,45,29,33
89,178.0,1119,52,22,35
90,180.0,1148,56,21,29
91,182.0,1146,55,26,32
92,184.0,1165,50,26,29
93,186.0,1110,64,25,43
94,188.0,1115,62,34,33
95,190.0,1102,61,21,21
96,192.0,1141,55,29,35
97,194.0,1120,48,28,18
98,196.0,1125,52,28,26
99,198.0,1180,59,27,36
100,200.0,1082,46,29,43
101,202.0,1150,48,25,34
102,204.0,1123,52,21,23
103,206.0,1141,70,22,20
104,208.0,1187,49,22,28
105,210.0,1197,68,27,26
106,212.0,1088,50,18,28
107,214.0,1140,50,28,31
108,216.0,1154,59,17,22
109,218.0,1142,52,30,28
110,220.0,1182,45,34,25
111,222.0,1110,52,32,29
112,224.0,1047,45,32,25
113,226.0,1168,57,32,19
114,228.0,1128,55,35,34
115,230.0,1138,58,29,20
116,232.0,1110,52,27,23
117,234.0,1180,58,25,32
118,236.0,1111,57,26,33
119,238.0,1154,53,20,31
120,240.0,1088,50,30,21
121,242.0,1150,55,30,23
122,244.0,1148,40,27,21
123,246.0,1122,52,24,26
124,248.0,1139,50,23,33
125,250.0,1105,59,31,37
126,252.0,1054,57,24,37
127,254.0,1166,67,25,30
128,256.0,1047,53,32,30
129,258.0,1049,60,23,24
130,260.0,1131,54,19,22
131,262.0,1123,51,22,26
132,264.0,1141,53,20,22
133,266.0,1092,49,33,32
134,268.0,1130,44,32,26
135,270.0,1129,51,25,34
136,272.0,1145,61,35,39
137,274.0,1115,40,31,27
138,276.0,1120,56,29,39
139,278.0,1164,53,22,25
140,280.0,1110,65,27,32
141,282.0,1110,61,29,26
142,284.0,1117,43,25,32
143,286.0,1157,64,20,18
144,288.0,1112,57,29,30
145,290.0,1233,44,16,31
146,292.0,1101,53,32,31
147,294.0,1177,53,34,21
148,296.0,1051,50,30,33
149,298.0,1083,51,22,30
150,300.0,1054,43,22,27
151,302.0,1080,45,20,25
152,304.0,1052,58,32,23
153,306.0,1032,54,25,28
154,308.0,1094,51,24,28
155,310.0,1114,58,31,29
156,312.0,1143,50,29,24
157,314.0,1128,51,29,29
158,316.0,1145,44,20,31
159,318.0,1141,52,21,28
160,320.0,1121,56,25,37
161,322.0,1169,58,24,23
162,324.0,1188,48,25,23
163,326.0,1166,61,29,25
164,328.0,1156,43,20,29
165,330.0,1102,55,28,28
166,332.0,1135,58,25,34
167,334.0,1139,40,29,30
168,336.0,1127,53,33,29
169,338.0,1145,64,18,31
170,340.0,1172,61,36,31
171,342.0,1108,46,25,33
172,344.0,1141,51,34,24
173,346.0,1154,67,29,27
174,348.0,1130,56,28,27
175,350.0,1127,49,18,26
176,352.0,1155,43,33,23
177,354.0,1227,52,37,33
178,356.0,1138,48,27,27
179,358.0,1189,43,28,36
180,360.0,1178,52,30,37
181,362.0,1286,50,23,35
182,364.0,1196,43,14,24
183,366.0,1226,46,15,31
184,368.0,1231,44,25,34
185,370.0,1219,66,20,26
186,372.0,1184,55,27,24
187,374.0,1145,52,21,26
188,376.0,1218,54,24,27
189,378.0,1126,44,30,22
190,380.0,1164,51,28,28
191,382.0,1154,33,31,31
192,384.0,1166,52,25,21
193,386.0,1204,70,32,19
194,388.0,1227,55,31,30
195,390.0,1205,50,30,24
196,392.0,1123,48,26,17
197,394.0,1202,54,26,19
198,396.0,1190,53,21,26
199,398.0,1195,63,29,38
200,400.0,1155,53,30,37
201,402.0,1129,57,21,29
202,404.0,1163,48,26,17
203,406.0,1104,45,26,31
204,408.0,1122,65,22,33
205,410.0,1108,51,20,18
206,412.0,1046,57,17,36
207,414.0,1108,59,28,24
208,416.0,1105,48,22,18
209,418.0,1167,46,22,22
210,420.0,1118,53,19,23
211,422.0,1066,59,31,24
212,424.0,1088,35,22,16
213,426.0,1141,46,22,20
214,428.0,1097,46,22,28
215,430.0,1115,55,19,23
216,432.0,1098,48,17,21
217,434.0,1175,40,20,28
218,436.0,1143,40,19,24
219,438.0,1152,41,28,26
220,440.0,1124,51,26,27
221,442.0,1154,53,22,24
222,444.0,1167,39,22,25
223,446.0,1147,52,26,30
224,448.0,1092,49,20,25
225,450.0,1134,49,28,22
226,452.0,1119,44,27,20
227,454.0,1218,57,21,17
228,456.0,1157,53,24,25
229,458.0,1162,42,32,26
230,460.0,1162,57,33,31
231,462.0,1125,50,21,20
232,464.0,1137,47,23,22
233,466.0,1079,38,24,27
234,468.0,1159,40,25,18
235,470.0,1180,43,16,26
236,472.0,1139,48,29,20
237,474.0,1187,53,37,28
238,476.0,1162,49,23,24
239,478.0,1101,63,21,18
240,480.0,1072,47,35,32
241,482.0,1167,53,30,26
242,484.0,1149,40,23,30
243,486.0,1173,41,21,27
244,488.0,1194,42,27,27
245,490.0,1182,50,23,28
246,492.0,1169,52,20,18
247,494.0,1240,59,28,26
248,496.0,1185,47,18,22
249,498.0,1072,41,26,31
250,500.0,1165,47,30,33
251,502.0,1130,46,31,20
252,504.0,1184,37,16,34
253,506.0,1181,35,22,29
254,508.0,1204,60,31,21
255,510.0,1148,56,35,16
256,512.0,1182,42,17,29
257,514.0,1123,52,31,23
258,516.0,1163,50,33,25
259,518.0,1157,38,19,27
260,520.0,1185,50,28,38
261,522.0,1182,61,28,33
262,524.0,1231,49,25,30
263,526.0,1224,62,27,27
264,528.0,1294,53,28,26
265,530.0,1226,57,25,18
266,532.0,1219,48,30,29
267,534.0,1171,44,31,31
268,536.0,1210,41,25,20
269,538.0,1133,49,21,20
270,540.0,1139,53,18,27
271,542.0,1189,57,17,21
272,544.0,1210,48,20,27
273,546.0,1218,44,14,32
274,548.0,1146,44,30,24
275,550.0,1190,44,28,26
276,552.0,1157,60,34,37
277,554.0,1147,47,36,31
278,556.0,1096,52,20,24
279,558.0,1165,44,29,25
280,560.0,1186,53,17,26
281,562.0,1143,68,38,32
282,564.0,1114,55,25,31
283,566.0,1123,51,20,26
284,568.0,1069,60,20,32
285,570.0,1142,60,19,33
286,572.0,1137,65,30,29
287,574.0,1036,55,26,29
288,576.0,1132,60,26,27
289,578.0,1189,46,27,26
290,580.0,1255,64,28,32
291,582.0,1299,58,28,29
292,584.0,1257,61,24,27
293,586.0,1253,52,28,19
294,588.0,1184,61,22,34
295,590.0,1204,57,25,19
296,592.0,1275,52,25,21
297,594.0,1147,42,26,25
298,596.0,1206,52,24,39
299,598.0,1207,47,25,30
300,600.0,1218,44,19,25
301,602.0,1119,41,23,20
302,604.0,1174,44,25,31
303,606.0,1186,46,24,20
304,608.0,1254,46,30,19
305,610.0,1229,58,35,29
306,612.0,1243,36,35,25
307,614.0,1199,55,28,19
308,616.0,1184,52,22,29
309,618.0,1242,59,24,24
310,621.0,1170,57,35,23
