,time_histo_el_s,ch0
0,0.0,524
1,2.0,499
2,4.0,543
3,6.0,498
4,8.0,553
5,10.0,540
6,12.0,543
7,14.0,511
8,16.0,512
9,18.0,535
10,20.0,509
11,22.0,528
12,24.0,494
13,26.0,531
14,28.0,478
15,30.0,485
16,32.0,563
17,34.0,511
18,36.0,535
19,38.0,537
20,40.0,484
21,42.0,496
22,44.0,509
23,46.0,493
24,48.0,479
25,50.0,520
26,52.0,499
27,54.0,518
28,56.0,521
29,58.0,510
30,60.0,527
31,62.0,515
32,64.0,545
33,66.0,550
34,68.0,546
35,70.0,516
36,72.0,491
37,74.0,509
38,76.0,494
39,78.0,534
40,80.0,522
41,82.0,505
42,84.0,486
43,86.0,498
44,88.0,486
45,90.0,496
46,92.0,495
47,94.0,530
48,96.0,514
49,98.0,520
50,100.0,508
51,102.0,525
52,104.0,478
53,106.0,517
54,108.0,527
55,110.0,523
56,112.0,536
57,114.0,562
58,116.0,506
59,118.0,512
60,120.0,523
61,122.0,512
62,124.0,529
63,126.0,506
64,128.0,559
65,130.0,527
66,132.0,531
67,134.0,532
68,136.0,547
69,138.0,539
70,140.0,524
71,142.0,535
72,144.0,536
73,146.0,508
74,148.0,522
75,150.0,505
76,152.0,535
77,154.0,517
78,156.0,490
79,158.0,550
80,160.0,519
81,162.0,518
82,164.0,531
83,166.0,536
84,168.0,544
85,170.0,527
86,172.0,565
87,174.0,539
88,176.0,502
89,178.0,534
90,180.0,507
91,182.0,515
92,184.0,589
93,186.0,523
94,188.0,509
95,190.0,495
96,192.0,478
97,194.0,536
98,196.0,517
99,198.0,568
100,200.0,573
101,202.0,495
102,204.0,534
103,206.0,520
104,208.0,497
105,210.0,552
106,212.0,495
107,214.0,519
108,216.0,505
109,218.0,535
110,220.0,530
111,222.0,533
112,224.0,523
113,226.0,546
114,228.0,567
115,230.0,481
116,232.0,492
117,234.0,507
118,236.0,493
119,238.0,487
120,240.0,493
121,242.0,538
122,244.0,527
123,246.0,488
124,248.0,481
125,250.0,516
126,252.0,529
127,254.0,500
128,256.0,519
129,258.0,555
130,260.0,489
131,262.0,493
132,264.0,493
133,266.0,522
134,268.0,504
135,270.0,509
136,272.0,530
137,274.0,543
138,276.0,528
139,278.0,520
140,280.0,524
141,282.0,512
142,284.0,536
143,286.0,512
144,288.0,501
145,290.0,507
146,292.0,556
147,294.0,516
148,296.0,550
149,298.0,523
150,300.0,564
151,302.0,499
152,304.0,523
153,306.0,527
154,308.0,523
155,310.0,511
156,312.0,521
157,314.0,523
158,316.0,536
159,318.0,519
160,320.0,511
161,322.0,518
162,324.0,520
163,326.0,540
164,328.0,521
165,330.0,540
166,332.0,553
167,334.0,538
168,336.0,529
169,338.0,492
170,340.0,510
171,342.0,543
172,344.0,521
173,346.0,494
174,348.0,532
175,350.0,564
176,352.0,508
177,354.0,589
178,356.0,548
179,358.0,507
180,360.0,505
181,362.0,534
182,364.0,563
183,366.0,509
184,368.0,505
185,370.0,498
186,372.0,516
187,374.0,527
188,376.0,535
189,378.0,487
190,380.0,519
191,382.0,499
192,384.0,516
193,386.0,527
194,388.0,524
195,390.0,528
196,392.0,518
197,394.0,531
198,396.0,563
199,398.0,549
200,400.0,529
201,402.0,538
202,404.0,515
203,406.0,538
204,408.0,541
205,410.0,498
206,412.0,527
207,414.0,522
208,416.0,543
209,418.0,528
210,420.0,508
211,422.0,511
212,424.0,540
213,426.0,550
214,428.0,537
215,430.0,580
216,432.0,549
217,434.0,544
218,436.0,553
219,438.0,521
220,440.0,526
221,442.0,560
222,444.0,510
223,446.0,550
224,448.0,534
225,450.0,550
226,452.0,546
227,454.0,489
228,456.0,513
229,458.0,512
230,460.0,547
231,462.0,521
232,464.0,557
233,466.0,585
234,468.0,504
235,470.0,507
236,472.0,529
237,474.0,527
238,476.0,539
239,478.0,568
240,480.0,549
241,482.0,555
242,484.0,511
243,486.0,582
244,488.0,528
245,490.0,523
246,492.0,514
247,494.0,503
248,496.0,527
249,498.0,520
250,500.0,478
251,502.0,532
252,504.0,534
253,506.0,554
254,508.0,511
255,510.0,522
256,512.0,556
257,514.0,550
258,516.0,496
259,518.0,558
260,520.0,528
261,522.0,531
262,524.0,527
263,526.0,536
264,528.0,538
265,530.0,499
266,532.0,528
267,534.0,544
268,536.0,546
269,539.0,540
270,541.0,497
271,543.0,501
272,545.0,522
273,547.0,538
274,549.0,547
275,551.0,523
276,553.0,510
277,555.0,517
278,557.0,526
279,559.0,494
280,561.0,503
281,563.0,497
282,565.0,548
283,567.0,519
284,569.0,503
285,571.0,503
286,573.0,506
287,575.0,540
288,577.0,541
289,579.0,522
290,581.0,521
291,583.0,552
292,585.0,512
293,587.0,512
294,589.0,500
295,591.0,527
296,593.0,516
297,595.0,498
298,597.0,552
299,599.0,477
300,601.0,529
301,603.0,517
302,605.0,506
303,607.0,519
304,609.0,552
305,611.0,505
306,613.0,519
307,615.0,503
308,617.0,553
309,619.0,517
310,621.0,478
311,623.0,500
312,625.0,504
313,627.0,509
314,629.0,485
315,631.0,561
316,633.0,486
317,635.0,498
318,637.0,495
319,639.0,472
320,641.0,519
321,643.0,474
322,645.0,545
323,647.0,512
324,649.0,542
325,651.0,478
326,653.0,511
327,655.0,521
328,657.0,519
329,659.0,524
330,661.0,527
331,663.0,512
332,665.0,539
333,667.0,475
334,669.0,483
335,671.0,532
336,673.0,493
337,675.0,525
338,677.0,515
339,679.0,506
340,681.0,462
341,683.0,491
342,685.0,511
343,687.0,496
344,689.0,474
345,691.0,518
346,693.0,519
347,695.0,487
348,697.0,496
349,699.0,543
350,701.0,490
351,703.0,493
352,705.0,472
353,707.0,479
354,709.0,496
355,711.0,467
356,713.0,513
357,715.0,496
358,717.0,498
359,719.0,468
360,721.0,514
361,723.0,491
362,725.0,528
363,727.0,527
364,729.0,486
365,731.0,498
366,733.0,504
367,735.0,507
368,737.0,482
369,739.0,490
370,741.0,540
371,743.0,480
372,745.0,516
373,747.0,513
374,749.0,475
375,751.0,505
376,753.0,480
377,755.0,488
378,757.0,507
379,759.0,525
380,761.0,537
381,763.0,513
382,765.0,477
383,767.0,490
384,769.0,518
385,771.0,511
386,773.0,509
