,time_histo_el_s,ch0,ch1,ch2,ch3
0,0.0,1677,115,86,6
1,2.0,1977,124,108,1
2,4.0,2035,123,110,6
3,6.0,2093,115,105,2
4,8.0,2011,131,113,4
5,10.0,2093,139,114,2
6,12.0,2082,127,110,4
7,14.0,2179,123,127,4
8,16.0,2104,121,101,6
9,18.0,2103,141,105,3
10,20.0,2056,125,107,8
11,22.0,2050,131,117,4
12,24.0,2003,109,118,0
13,26.0,2173,127,100,5
14,28.0,2051,139,106,3
15,30.0,2066,136,101,8
16,32.0,2027,140,98,3
17,34.0,1955,126,108,5
18,36.0,2013,111,106,5
19,38.0,2019,117,117,4
20,40.0,1950,121,99,2
21,42.0,2056,142,94,3
22,44.0,1998,130,89,1
23,46.0,1996,142,102,5
24,48.0,2071,131,107,4
25,50.0,2055,112,134,4
26,52.0,2060,143,81,3
27,54.0,2126,129,112,4
28,56.0,2066,115,103,3
29,58.0,2003,140,108,4
30,60.0,2093,142,101,2
31,62.0,2024,120,106,3
32,64.0,1996,106,94,0
33,66.0,1971,122,107,1
34,68.0,1943,121,103,3
35,70.0,1986,125,98,3
36,72.0,2051,136,107,3
37,74.0,2104,127,108,1
38,76.0,2011,118,104,3
39,78.0,2094,138,105,4
40,80.0,2108,119,118,4
41,82.0,2144,132,101,3
42,84.0,2034,124,97,4
43,86.0,2089,119,110,2
44,88.0,2078,144,92,6
45,90.0,2013,136,112,7
46,92.0,2030,125,103,2
47,94.0,1961,118,109,2
48,96.0,2076,111,107,2
49,98.0,2070,120,112,4
50,100.0,2063,126,86,3
51,102.0,2117,127,111,5
52,104.0,2058,129,91,1
53,106.0,2030,140,95,3
54,108.0,1971,105,89,0
55,110.0,1993,124,97,2
56,112.0,2058,140,101,1
57,114.0,2148,142,100,2
58,116.0,2047,149,104,5
59,118.0,2053,117,105,4
60,120.0,2097,127,109,1
61,122.0,2062,149,120,5
62,124.0,1990,110,94,4
63,126.0,2132,131,108,7
64,128.0,2113,135,112,2
65,130.0,2104,112,112,1
66,132.0,2088,140,104,2
67,134.0,2084,100,105,2
68,136.0,2063,128,89,3
69,138.0,2154,148,109,5
70,140.0,2066,124,105,3
71,142.0,2091,116,114,4
72,144.0,2065,152,107,3
73,146.0,2169,132,104,6
74,148.0,2055,128,89,2
75,150.0,2055,131,100,3
76,152.0,2101,115,95,0
77,154.0,2052,138,92,4
78,156.0,2027,129,112,3
79,158.0,2133,143,101,3
80,160.0,2085,135,90,6
81,162.0,2072,127,94,2
82,164.0,2085,133,82,1
83,166.0,2061,127,111,2
84,168.0,2030,120,102,7
85,170.0,2106,127,112,3
86,172.0,2060,123,119,2
87,174.0,1999,122,96,5
88,176.0,2037,131,101,4
89,178.0,1998,127,97,1
90,180.0,2029,126,114,4
91,182.0,2053,129,84,7
92,184.0,1967,120,89,2
93,186.0,2049,139,105,5
94,188.0,2052,139,106,4
95,190.0,2104,126,96,4
96,192.0,2042,155,106,1
97,194.0,2018,133,102,2
98,196.0,2054,132,96,3
99,198.0,2112,133,99,2
100,200.0,2062,126,94,4
101,202.0,2044,127,108,4
102,204.0,2007,132,102,8
103,206.0,2136,121,112,4
104,208.0,2131,129,96,4
